Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
665401,  US,00001,     ,"US 1, US 301",Jefferson Davis Hwy,127,City of Richmond,127,City of Richmond,2.13,SCL Richmond,Bellmeade Rd,15000,F,95%,1%,1%,1%,2%,0%,F,0.0803,F,0.5675,16000,F,2012,,,,,,,,,,,,,,,
140120,  US,00001,     ,"US 1, US 301",Jefferson Davis Hwy,127,City of Richmond,127,City of Richmond,0.86,Bellmeade Rd,Hopkins Rd,13000,A,95%,1%,1%,1%,2%,0%,C,0.0985,A,0.5072,13000,A,2012,,,,,,,,,,,,,,,
665404,  US,00001,     ,"US 1, US 301",Jefferson Davis Hwy,127,City of Richmond,127,City of Richmond,1.01,Hopkins Rd,US 360 Hull St,19000,F,95%,1%,1%,1%,2%,0%,F,0.0845,F,0.5026,20000,F,2012,,,,,,,,,,,,,,,
665406,  US,00001,     ,"US 1, US 301",Cowardin Ave,127,City of Richmond,127,City of Richmond,0.39,US 360 Hull St,Semmes Ave,22000,F,95%,1%,1%,1%,2%,0%,F,0.0895,F,0.5888,23000,F,2012,,,,,,,,,,,,,,,
665620,  US,00001,     ,"US 1, US 301",Lee Bridge,127,City of Richmond,127,City of Richmond,0.76,Semmes Ave,2nd St,31000,F,97%,1%,1%,0%,1%,0%,F,0.0921,F,0.5708,36000,F,2012,,,,,,,,,,,,,,,
665407,  US,00001,     ,"US 1, US 301",Belvidere St,127,City of Richmond,127,City of Richmond,0.92,2nd St,Franklin St,27000,F,97%,1%,1%,0%,1%,0%,F,0.0892,F,0.5672,31000,F,2012,,,,,,,,,,,,,,,
665408,  US,00001,     ,"US 1, US 301",Belvidere St,127,City of Richmond,127,City of Richmond,0.15,Franklin St,US 250 Broad St,31000,F,97%,1%,1%,0%,1%,0%,F,0.0839,F,0.5046,36000,F,2012,,,,,,,,,,,,,,,
665409,  US,00001,     ,"US 1, US 301",Belvidere St,127,City of Richmond,127,City of Richmond,0.40,US 250 Broad St,Chamberlayne Ave,32000,F,97%,1%,1%,0%,1%,0%,F,0.0827,F,0.6108,36000,F,2012,,,,,,,,,,,,,,,
665410,  US,00001,     ,"US 1, US 301",Chamberlayne Ave,127,City of Richmond,127,City of Richmond,1.02,Belvidere St,Edge Hill Rd,23000,F,97%,1%,1%,0%,1%,0%,C,0.0805,F,0.6605,26000,F,2012,,,,,,,,,,,,,,,
