Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Keysville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
030448,C6US,00015,     ,"Bus US 15, Bus US 360", ,248,Town of Keysville,019,Charlotte County,0.73,CL Keysville,S SR 40,1300,N,90%,0%,1%,1%,7%,0%,N,0.1018,N,0.5865,1400,N,2008,,,,,,,,,,,,,,,
030335,C6US,00015,     ,"Bus US 15, Bus US 360, VA 40",McDonald Rd,248,Town of Keysville,019,Charlotte County,0.56,S SR 40,N SR 40,4700,G,90%,0%,1%,1%,7%,0%,F,0.0959,F,0.5067,4800,G,2008,,,,,,,,,,,,,,,
030334,C6US,00015,     ,"Bus US 15, Bus US 360",Four Locust Hwy,248,Town of Keysville,019,Charlotte County,0.37,N SR 40,CL Keysville,4200,G,90%,0%,1%,1%,7%,0%,F,0.0855,F,0.5609,4300,G,2008,,,,,,,,,,,,,,,
030427,  SR,00040,     ,VA 40,Church St,248,Town of Keysville,019,Charlotte County,0.54,WCL Keysville,"Bus US 15, Bus US 360",2200,N,76%,1%,2%,2%,20%,0%,N,0.1018,N,0.6510,2300,N,2008,,,,,,,,,,,,,,,
030335,  SR,00040,     ,"Bus US 15, Bus US 360, VA 40",McDonald Rd,248,Town of Keysville,019,Charlotte County,0.56,W US 15 BUS,E US 15 BUS,4700,G,90%,0%,1%,1%,7%,0%,F,0.0959,F,0.5067,4800,G,2008,,,,,,,,,,,,,,,
030072,  SR,00040,     ,VA 40,Lunenburg Hwy,248,Town of Keysville,019,Charlotte County,0.40,"US 15, US 360; ECL Keysville",ECL Keysville,2900,G,87%,2%,2%,1%,8%,0%,F,0.1022,F,0.5307,3000,G,2008,,,,,,,,,,,,,,,
030113,  SR,00059,     ,VA 59, ,248,Town of Keysville,019,Charlotte County,0.58,WCL Keysville,SR 40 Keysville,1600,N,91%,1%,1%,1%,6%,0%,N,0.0930,N,0.5163,1600,N,2008,,,,,,,,,,,,,,,
030448,C4US,00360,     ,"Bus US 15, Bus US 360", ,248,Town of Keysville,019,Charlotte County,0.73,CL Keysville,S SR 40,1300,N,90%,0%,1%,1%,7%,0%,N,0.1018,N,0.5865,1400,N,2008,,,,,,,,,,,,,,,
030335,C4US,00360,     ,"Bus US 15, Bus US 360, VA 40",McDonald Rd,248,Town of Keysville,019,Charlotte County,0.56,S SR 40,N SR 40,4700,G,90%,0%,1%,1%,7%,0%,F,0.0959,F,0.5067,4800,G,2008,,,,,,,,,,,,,,,
