Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of South Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
670015,  SR,00034,     ,VA 34,Hodges St,130,Town of South Boston,130,Town of South Boston,0.54,North Main St,US 360 John Randolph Blvd,2000,F,98%,1%,1%,0%,0%,0%,C,0.1017,F,0.5348,2200,F,2008,,,,,,,,,,,,,,,
030350,  US,00058,     ,"US 58, US 360",Bill Tuck Hwy,130,Town of South Boston,130,Town of South Boston,0.18,US 501 Huell Matthews Hwy,ECL South Boston,13000,F,84%,1%,1%,1%,13%,1%,F,0.0767,F,0.0000,13000,F,2008,,,,,,,,,,,,,,,
670036,  SR,00129,     ,VA 129,North Main St,130,Town of South Boston,130,Town of South Boston,0.09,US 501 P; Wilborn Ave; Main St,US 501 Broad St,3200,F,99%,1%,0%,0%,0%,0%,F,0.0956,F,0.7927,3500,F,2008,,,,,,,,,,,,,,,
670037,  SR,00129,     ,VA 129,North Main St,130,Town of South Boston,130,Town of South Boston,0.38,US 501 Broad St,SR 34 Hodges St,5000,F,99%,1%,0%,0%,0%,0%,C,0.0959,F,0.0000,5400,F,2008,,,,,,,,,,,,,,,
670038,  SR,00129,     ,VA 129,North Main St,130,Town of South Boston,130,Town of South Boston,0.16,SR 34 Hodges St,Edmunds St,6000,F,99%,1%,0%,0%,0%,0%,F,0.0944,F,0.5190,6500,F,2008,,,,,,,,,,,,,,,
670039,  SR,00129,     ,VA 129,North Main St,130,Town of South Boston,130,Town of South Boston,0.19,Edmunds St,College St,6200,F,99%,1%,0%,0%,0%,0%,F,0.0950,F,0.5739,6700,F,2008,,,,,,,,,,,,,,,
670040,  SR,00129,     ,VA 129,North Main St,130,Town of South Boston,130,Town of South Boston,0.63,College St,Hamilton Blvd,5900,F,99%,1%,0%,0%,0%,0%,F,0.0986,F,0.5670,6400,F,2008,,,,,,,,,,,,,,,
670041,  SR,00129,     ,VA 129,North Main St,130,Town of South Boston,130,Town of South Boston,0.88,Hamilton Blvd,NCL South Boston,9600,F,99%,1%,0%,0%,0%,0%,C,0.0989,F,0.0000,10000,F,2008,,,,,,,,,,,,,,,
670033,  SR,00304,     ,VA 304,Seymour Dr,130,Town of South Boston,130,Town of South Boston,0.08,US 501 P; Main St,US 501 Broad St,2500,F,97%,0%,1%,1%,0%,0%,F,0.1016,F,0.0000,2700,F,2008,,,,,,,,,,,,,,,
670034,  SR,00304,     ,VA 304,Seymour Dr,130,Town of South Boston,130,Town of South Boston,0.38,US 501 Broad St,Marshall St,3000,F,97%,0%,1%,1%,0%,0%,C,0.0923,F,0.0000,3200,F,2008,,,,,,,,,,,,,,,
