Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Pulaski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
662013,  US,00011,     ,US 11,Washington Ave,125,Town of Pulaski,125,Town of Pulaski,0.71,SCL Pulaski,2nd St,3600,G,99%,0%,0%,0%,0%,0%,F,0.0940,F,0.0000,3900,G,2009,,,,,,,,,,,,,,,
662014,  US,00011,     ,US 11,Washington St,125,Town of Pulaski,125,Town of Pulaski,0.30,2nd St,Main St SR 99,4700,G,99%,0%,0%,0%,0%,0%,C,0.0952,F,0.0000,5100,G,2009,,,,,,,,,,,,,,,
662015,  US,00011,     ,US 11,Washington Ave,125,Town of Pulaski,125,Town of Pulaski,0.22,Main St,5th St,4600,G,98%,1%,1%,0%,0%,0%,F,0.0899,F,0.0000,5000,G,2009,,,,,,,,,,,,,,,
662016,  US,00011,     ,US 11,5th St,125,Town of Pulaski,125,Town of Pulaski,0.20,Washington Ave,Lee Highway,6200,G,98%,1%,1%,0%,0%,0%,F,0.0876,F,0.5337,6800,G,2009,,,,,,,,,,,,,,,
662017,  US,00011,     ,US 11,Lee Highway,125,Town of Pulaski,125,Town of Pulaski,0.84,5th St,Alum Spring Rd,9000,G,98%,1%,1%,0%,0%,0%,C,,,,9800,G,2009,,,,,,,,,,,,,,,
662018,  US,00011,     ,US 11,Lee Highway,125,Town of Pulaski,125,Town of Pulaski,1.60,Alum Spring Rd,ECL Pulaski,9800,G,98%,1%,1%,0%,0%,0%,F,0.0889,F,0.0000,11000,G,2009,,,,,,,,,,,,,,,
662023,  SR,00099,     ,VA 99,Randolph Ave,125,Town of Pulaski,125,Town of Pulaski,0.68,NCL Pulaski,9th St,1300,G,98%,1%,1%,0%,0%,0%,F,0.0978,F,0.5018,1400,G,2009,,,,,,,,,,,,,,,
662024,  SR,00099,     ,VA 99,Randolph Ave,125,Town of Pulaski,125,Town of Pulaski,0.47,9th St,3rd St,2800,G,98%,1%,1%,0%,0%,0%,C,0.0991,F,0.5348,3000,G,2009,,,,,,,,,,,,,,,
662025,  SR,00099,     ,VA 99,Randolph Ave,125,Town of Pulaski,125,Town of Pulaski,0.08,3rd St,Main St,3100,G,98%,1%,1%,0%,0%,0%,F,0.0938,F,0.6540,3300,G,2009,,,,,,,,,,,,,,,
662026,  SR,00099,     ,VA 99,Main St,125,Town of Pulaski,125,Town of Pulaski,0.20,Randolph Ave; SR 99,Washington Ave,1300,G,97%,1%,1%,0%,1%,0%,F,0.0940,F,0.7979,1500,G,2009,,2500,G,98%,1%,1%,0%,1%,0%,F,,,,2700,G
