Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Marion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
650234,  US,00011,     ,US 11,S Main St,119,Town of Marion,119,Town of Marion,0.52,WCL Marion; 86-730 Washington Ave,Greenway Ave,9200,G,97%,1%,1%,0%,0%,0%,C,0.0854,F,0.5378,10000,G,2009,,,,,,,,,,,,,,,
650232,  US,00011,     ,US 11,S Main St,119,Town of Marion,119,Town of Marion,0.40,Greenway Ave,College St,7900,G,97%,1%,1%,0%,0%,0%,F,0.0842,F,0.5909,8600,G,2009,,,,,,,,,,,,,,,
650230,  US,00011,     ,US 11,Main St,119,Town of Marion,119,Town of Marion,0.41,College St,SR 16 S Commerce Street,8400,G,97%,1%,1%,0%,0%,0%,F,0.0845,F,0.5119,9100,G,2009,,,,,,,,,,,,,,,
650228,  US,00011,     ,,Main St,119,Town of Marion,119,Town of Marion,0.08,SR 16 S Commerce Street,East Main St,12000,G,99%,0%,1%,0%,0%,0%,F,0.0801,F,0.5506,13000,G,2009,,,,,,,,,,,,,,,
650226,  US,00011,     ,,Main St,119,Town of Marion,119,Town of Marion,0.17,East Main St,119-4453 Chatham Hill Rd; Lee St,15000,G,99%,0%,1%,0%,0%,0%,F,0.0806,F,0.5127,16000,G,2009,,,,,,,,,,,,,,,
650237,  US,00011,     ,,Main St,119,Town of Marion,119,Town of Marion,0.94,119-4453 Chatham Hill Rd; Lee St,SR 16 Park Blvd,16000,G,99%,0%,1%,0%,0%,0%,C,0.0891,F,0.5003,18000,G,2009,,,,,,,,,,,,,,,
650220,  US,00011,     ,US 11,N Main St,119,Town of Marion,119,Town of Marion,0.20,SR 16 Park Blvd,119-4459 Keller Lane,15000,G,97%,0%,1%,0%,1%,0%,F,0.0850,F,0.0000,17000,G,2009,,,,,,,,,,,,,,,
650242,  US,00011,     ,US 11,N Main St,119,Town of Marion,119,Town of Marion,0.65,119-4459 Keller Lane,ECL Marion,10000,G,97%,0%,1%,0%,1%,0%,C,0.1029,F,0.5375,11000,G,2009,,,,,,,,,,,,,,,
650235,  SR,00016,     ,VA 16,S Commerce St,119,Town of Marion,119,Town of Marion,0.25,SCL Marion,I-81,4700,G,95%,0%,1%,1%,3%,0%,C,0.0875,F,0.5533,5000,G,2009,,,,,,,,,,,,,,,
650236,  SR,00016,     ,VA 16,S Commerce St,119,Town of Marion,119,Town of Marion,0.05,I-81,SR 217 State St,8000,G,95%,0%,1%,1%,3%,0%,F,0.0869,F,0.6334,8700,G,2009,,,,,,,,,,,,,,,
