Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Saint Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
010487,A1US,00058,     ,Alt US 58,Bull Run Rd,294,Town of Saint Paul,097,Wise County,0.30,WCL Saint Paul,SR 63 Wise St,9100,N,93%,0%,1%,3%,3%,0%,N,0.0926,N,0.6551,9800,N,2009,,,,,,,,,,,,,,,
010415,A1US,00058,     ,Alt US 58,Bull Run Rd,294,Town of Saint Paul,097,Wise County,0.48,SR 63 Wise St,Russell County Line,9900,F,93%,0%,1%,3%,3%,0%,F,0.0917,F,0.6233,11000,F,2009,,,,,,,,,,,,,,,
010025,  SR,00063,     ,VA 63,Wise St,294,Town of Saint Paul,097,Wise County,1.46,ALT US 58,NCL Saint Paul,5500,F,92%,0%,1%,5%,2%,0%,F,0.0845,F,0.5528,5700,F,2009,,,,,,,,,,,,,,,
110066,  SR,00270,     ,VA 270,Bull Run Rd,294,Town of Saint Paul,097,Wise County,0.26,US 58 Bus,SR 63,4300,F,99%,0%,1%,0%,0%,0%,C,0.0905,F,0.5405,4600,F,2009,,,,,,,,,,,,,,,
769173,  83,00640,     ,83-640,South St Paul,294,Town of Saint Paul,083,Russell County,0.58,Dead End,CL St Paul,310,R,,,,,,,X,,,,,,01/11/2006,,,,,,,,,,,,,,,
769374,  83,00751,     ,83-751,Second St,294,Town of Saint Paul,083,Russell County,0.05,Dead End,0.05 MS Dead End,120,R,,,,,,,X,,,,,,01/11/2006,,,,,,,,,,,,,,,
769375,  83,00751,     ,83-751,Second St,294,Town of Saint Paul,083,Russell County,0.11,0.05 MS Dead End,83-640 South St Paul,330,R,,,,,,,X,,,,,,01/11/2006,,,,,,,,,,,,,,,
769384,  83,00760,     ,83-760, ,294,Town of Saint Paul,083,Russell County,0.28,83-811,83-884,730,R,,,,,,,X,,,,,,10/04/2002,,,,,,,,,,,,,,,
769385,  83,00760,     ,83-760, ,294,Town of Saint Paul,083,Russell County,0.08,83-884,83-1301,730,R,,,,,,,X,,,,,,10/04/2002,,,,,,,,,,,,,,,
769386,  83,00761,     ,83-761, ,294,Town of Saint Paul,083,Russell County,0.06,83-640 South St Paul,Dead End,70,R,,,,,,,X,,,,,,10/04/2002,,,,,,,,,,,,,,,
769446,  83,00811,     ,83-811, ,294,Town of Saint Paul,083,Russell County,0.04,83-760,83-1301 SOUTH,610,R,,,,,,,X,,,,,,10/04/2002,,,,,,,,,,,,,,,
769447,  83,00811,     ,83-811, ,294,Town of Saint Paul,083,Russell County,0.03,83-1301 SOUTH,83-1301 NORTH,610,R,,,,,,,X,,,,,,10/04/2002,,,,,,,,,,,,,,,
