Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst Maintenance Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
030269,  US,00029,     ,US 29, ,005,Amherst County,005,Amherst County,1.09,NCL Lynchburg,SR 210,16000,G,93%,0%,0%,0%,6%,0%,F,0.0896,F,0.5303,16000,G,2009,,,,,,,,,,,,,,,
030270,  US,00029,     ,US 29, ,005,Amherst County,005,Amherst County,3.77,SR 210,SR 130,16000,G,93%,0%,0%,0%,6%,0%,F,0.0882,F,0.5002,15000,G,2009,,,,,,,,,,,,,,,
030275,  US,00029,     ,US 29, ,005,Amherst County,005,Amherst County,7.15,SR 130,SCL Amherst; Bus US 29,14000,G,93%,0%,0%,0%,6%,0%,F,0.0806,F,0.5331,13000,G,2009,,,,,,,,,,,,,,,
030286,  US,00029,     ,US 29, ,163,Town of Amherst,005,Amherst County,1.72,SCL Amherst; Bus US 29,US 60 Richmond Hwy,21000,G,93%,0%,0%,0%,6%,0%,F,0.0773,F,0.5132,21000,G,2009,,,,,,,,,,,,,,,
030287,  US,00029,     ,US 29, ,163,Town of Amherst,005,Amherst County,1.45,US 60 Richmond Hwy,BUS US 29 Near NCL Amherst,17000,G,93%,0%,0%,0%,6%,0%,F,0.0776,F,0.5129,17000,G,2009,,,,,,,,,,,,,,,
030189,  US,00029,     ,US 29,N Amherst Hwy,163,Town of Amherst,005,Amherst County,0.64,BUS US 29 Near NCL Amherst,NCL Amherst,17000,N,93%,0%,0%,0%,6%,0%,N,0.0786,N,0.5103,17000,N,2009,,,,,,,,,,,,,,,
030188,  US,00029,     ,US 29,N Amherst Hwy,005,Amherst County,005,Amherst County,1.35,NCL Amherst,SR 151 North of Amherst,17000,G,93%,0%,0%,0%,6%,0%,F,0.0786,F,0.5103,17000,G,2009,,,,,,,,,,,,,,,
030186,  US,00029,     ,US 29,N Amherst Hwy,005,Amherst County,005,Amherst County,4.10,SR 151 North of Amherst,Nelson County Line,13000,G,93%,0%,0%,0%,6%,0%,F,0.0783,F,0.5799,13000,G,2009,,,,,,,,,,,,,,,
030316,C5US,00029,     ,Bus US 29, ,005,Amherst County,005,Amherst County,1.72,NCL Lynchburg,SR 163 North of Lynchburg,25000,G,98%,0%,1%,0%,1%,0%,F,0.0914,F,0.5833,26000,G,2009,,,,,,,,,,,,,,,
