Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery Maintenance Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
120076,  SR,00008,     ,VA 8,Riner Rd,060,Montgomery County,060,Montgomery County,5.99,Floyd County Line,60-658 N of Riner; Meadow Creek Rd,7000,G,97%,0%,1%,1%,1%,0%,F,0.0932,F,0.6658,7400,G,2009,,,,,,,,,,,,,,,
120077,  SR,00008,     ,VA 8,Riner Rd,060,Montgomery County,060,Montgomery County,3.26,60-658 N of Riner; Meadow Creek Rd,SCL Christiansburg near I-81,9700,G,97%,0%,1%,1%,1%,0%,F,0.1052,F,0.7785,10000,G,2009,,,,,,,,,,,,,,,
120078,  SR,00008,     ,VA 8,W Main St,154,Town of Christiansburg,060,Montgomery County,0.22,SCL Christiansburg Near I-81,Old SCL Christiansburg,14000,G,96%,1%,1%,1%,1%,0%,F,0.1030,F,0.5575,15000,G,2009,,,,,,,,,,,,,,,
618199,  SR,00008,     ,VA 8,W Main St,154,Town of Christiansburg,154,Town of Christiansburg,0.77,Old SCL Christiansburg,US 11; Radford St,12000,G,96%,1%,1%,1%,1%,0%,C,0.0918,F,0.6070,13000,G,2009,,,,,,,,,,,,,,,
020392,  US,00011,     ,US 11, ,060,Montgomery County,060,Montgomery County,0.15,Pulaski County Line,WCL Radford,23000,G,98%,0%,0%,0%,1%,0%,F,0.0859,F,0.5170,24000,G,2009,,,,,,,,,,,,,,,
663109,  US,00011,     ,US 11,Lee Hwy,126,City of Radford,060,Montgomery County,0.21,WCL Radford,"SR 232, First St",23000,G,98%,0%,0%,0%,1%,0%,F,0.0859,F,0.5170,24000,G,2009,,,,,,,,,,,,,,,
663111,  US,00011,     ,US 11,Norwood St,126,City of Radford,126,City of Radford,0.26,"SR 232, First St",Grove Ave,18000,G,98%,0%,1%,0%,0%,0%,F,0.0924,F,0.5464,20000,G,2009,,,,,,,,,,,,,,,
663114,  US,00011,     ,US 11,E Main St,126,City of Radford,126,City of Radford,0.77,Grove Ave,SR 177 Tyler Ave,13000,G,98%,0%,1%,0%,0%,0%,C,0.0865,F,0.5739,14000,G,2009,,,,,,,,,,,,,,,
663118,  US,00011,     ,US 11,E Main St,126,City of Radford,126,City of Radford,0.93,SR 177 Tyler Ave,Whitehall St,14000,G,98%,0%,1%,0%,0%,0%,F,0.0899,F,0.6197,15000,G,2009,,,,,,,,,,,,,,,
663117,  US,00011,     ,US 11,E Main St,126,City of Radford,126,City of Radford,1.46,Whitehall St,ECL Radford,4400,G,98%,0%,1%,0%,0%,0%,C,0.1077,F,0.6181,4800,G,2009,,,,,,,,,,,,,,,
