Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Chase City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
614006,  SR,00047,     ,VA 47,E Second St,186,Town of Chase City,058,Mecklenburg County,0.48,ECL Chase City,Drew St,3900,G,91%,1%,1%,1%,6%,0%,C,0.0898,F,0.5262,4200,G,2009,,,,,,,,,,,,,,,
614017,  SR,00047,     ,VA 47,E Second St,186,Town of Chase City,058,Mecklenburg County,0.21,Drew St,186-5 Marshall St,6000,G,94%,1%,1%,1%,4%,0%,C,0.0920,F,0.5338,6500,G,2009,,,,,,,,,,,,,,,
781325,  SR,00047,     ,VA 47,E Second St,186,Town of Chase City,058,Mecklenburg County,0.05,186-5 Marshall St,"SR 49, SR 92",6000,N,94%,1%,1%,1%,4%,0%,N,0.0920,N,0.5338,6500,N,2009,,,,,,,,,,,,,,,
614018,  SR,00047,     ,,N Main St,186,Town of Chase City,058,Mecklenburg County,0.24,"SR 49, SR 92",E FIFTH ST,6500,G,94%,1%,1%,1%,3%,0%,C,0.0909,F,0.5041,7000,G,2009,,,,,,,,,,,,,,,
614005,  SR,00047,     ,,N Main St,186,Town of Chase City,058,Mecklenburg County,1.02,E FIFTH ST,"SR 49, WCL Chase City",6900,G,94%,1%,1%,1%,3%,0%,C,0.0928,F,0.5013,7400,G,2009,,,,,,,,,,,,,,,
614001,  SR,00049,     ,VA 49,W Second St,186,Town of Chase City,058,Mecklenburg County,0.23,WCL Chase City,SR 92,1500,G,93%,0%,2%,0%,4%,0%,C,0.0983,F,0.5372,1700,G,2009,,,,,,,,,,,,,,,
614003,  SR,00049,     ,,W Second St,186,Town of Chase City,058,Mecklenburg County,0.56,SR 92,Endly St,4900,G,94%,1%,1%,1%,4%,0%,C,0.0920,F,0.5393,5300,G,2009,,,,,,,,,,,,,,,
614016,  SR,00049,     ,,E Second St,186,Town of Chase City,058,Mecklenburg County,0.19,Endly St,N Main St,5300,G,95%,0%,1%,1%,3%,0%,C,0.0890,F,0.5192,5700,G,2009,,,,,,,,,,,,,,,
614018,  SR,00049,     ,,N Main St,186,Town of Chase City,058,Mecklenburg County,0.24,E Second St,E Fifth St,6500,G,94%,1%,1%,1%,3%,0%,C,0.0909,F,0.5041,7000,G,2009,,,,,,,,,,,,,,,
614005,  SR,00049,     ,,N Main St,186,Town of Chase City,058,Mecklenburg County,1.02,E Fifth St,SR 47,6900,G,94%,1%,1%,1%,3%,0%,C,0.0928,F,0.5013,7400,G,2009,,,,,,,,,,,,,,,
