Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southampton Maintenance Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
050339,  SR,00035,     ,VA 35,Meherrin Rd,087,Southampton County,087,Southampton County,1.40,North Carolina State Line,SCL Boykins,1500,F,85%,0%,2%,1%,12%,0%,F,0.1042,F,0.7197,1500,F,2009,,,,,,,,,,,,,,,
050348,  SR,00035,     ,VA 35,Meherrin Rd,174,Town of Boykins,087,Southampton County,1.24,SCL Boykins,SR 186 Pittman Rd,1500,N,85%,0%,2%,1%,12%,0%,N,0.1042,N,0.7197,1500,N,2009,,,,,,,,,,,,,,,
050415,  SR,00035,     ,VA 35,Meherrin Rd,174,Town of Boykins,087,Southampton County,0.49,SR 186 Pittman Rd,NCL Boykins,3700,F,85%,0%,2%,1%,12%,0%,C,0.0842,F,0.5662,3800,F,2009,,,,,,,,,,,,,,,
050338,  SR,00035,     ,VA 35,Meherrin Rd,087,Southampton County,087,Southampton County,4.93,NCL Boykins,87-693 Garris Mill Rd,1300,F,81%,1%,1%,1%,16%,0%,C,0.0973,F,0.5736,1300,F,2009,,,,,,,,,,,,,,,
050057,  SR,00035,     ,VA 35,Meherrin Rd,087,Southampton County,087,Southampton County,5.15,87-693 Garris Mill Rd,US 58 Southhampton Pkwy; Bus US 58,1400,F,81%,1%,1%,1%,16%,0%,F,0.1053,F,0.6486,1400,F,2009,,,,,,,,,,,,,,,
050350,  SR,00035,     ,,Meherrin Rd,087,Southampton County,087,Southampton County,2.03,US 58 West of Courtland,CL Courtland,2800,F,93%,1%,1%,1%,4%,0%,F,0.1267,F,0.5064,2800,F,2009,,,,,,,,,,,,,,,
050443,  SR,00035,     ,,Meherrin Rd,201,Town of Courtland,087,Southampton County,0.14,CL Courtland,BUS US 58,2800,N,93%,1%,1%,1%,4%,0%,N,0.1267,N,0.5064,2800,N,2009,,,,,,,,,,,,,,,
050337,  SR,00035,     ,VA 35,Main St,201,Town of Courtland,087,Southampton County,0.59,Bus US 58; Meherrin Rd,NCL Courtland,4200,F,75%,1%,1%,3%,20%,0%,F,0.0853,F,0.5091,4200,F,2009,,,,,,,,,,,,,,,
050340,  SR,00035,     ,VA 35,Main St,087,Southampton County,087,Southampton County,0.10,NCL Courtland,87-616 Ivor Rd,4200,N,75%,1%,1%,3%,20%,0%,N,0.0853,N,0.5091,4200,N,2009,,,,,,,,,,,,,,,
