050474,  SR,00035,     ,VA 35,Main St,087,Southampton County,087,Southampton County,2.75,87-616 Ivor Rd,87-628 Wakefield Rd,2300,F,75%,1%,1%,3%,20%,0%,F,0.0848,F,0.5248,2400,F,2009,,,,,,,,,,,,,,,
050336,  SR,00035,     ,VA 35,Plank Rd,087,Southampton County,087,Southampton County,3.43,87-628 Wakefield Rd,87-653 Cary's Bridge Rd,1900,F,75%,1%,1%,3%,20%,0%,C,0.0992,F,0.5153,2000,F,2009,,,,,,,,,,,,,,,
050335,  SR,00035,     ,VA 35,Plank Rd,087,Southampton County,087,Southampton County,3.94,87-653 Cary's Bridge Rd,Sussex County Line,1900,F,75%,1%,1%,3%,20%,0%,F,0.0885,F,0.5526,2000,F,2009,,,,,,,,,,,,,,,
050346,  US,00058,     ,US 58,Southampton Pkwy,087,Southampton County,087,Southampton County,5.44,Greensville County Line,"87-615 W, Adams Grove Rd; Hicksford Rd",13000,F,86%,1%,1%,1%,11%,0%,F,0.0720,F,0.5398,12000,F,2009,,,,,,,,,,,,,,,
050345,  US,00058,     ,US 58,Southampton Pkwy,087,Southampton County,087,Southampton County,4.72,"87-615 W, Adams Grove Rd; Hicksford Rd",87-659 Drewry Rd; Pinopolis,12000,F,86%,1%,1%,1%,11%,0%,F,0.0720,F,0.5518,12000,F,2009,,,,,,,,,,,,,,,
050344,  US,00058,     ,US 58,Southampton Pkwy,087,Southampton County,087,Southampton County,5.55,87-659 Drewry Rd; Pinopolis,WCL Capron,13000,F,86%,1%,1%,1%,11%,0%,F,0.0716,F,0.5440,12000,F,2009,,,,,,,,,,,,,,,
050427,  US,00058,     ,US 58,Southampton Pkwy,183,Town of Capron,087,Southampton County,0.14,WCL Capron,87-653 Capron,13000,N,86%,1%,1%,1%,11%,0%,N,0.0716,N,0.5440,12000,N,2009,,,,,,,,,,,,,,,
050343,  US,00058,     ,US 58,Southampton Pkwy,183,Town of Capron,087,Southampton County,0.15,87-653 Capron,ECL Capron,15000,F,86%,1%,1%,1%,11%,0%,F,0.0703,F,0.5513,15000,F,2009,,,,,,,,,,,,,,,
050428,  US,00058,     ,US 58,Southampton Pkwy,087,Southampton County,087,Southampton County,5.56,ECL Capron,SR 35 & 58 Bus W of Courtland,15000,N,86%,1%,1%,1%,11%,0%,N,0.0703,N,0.5513,15000,N,2009,,,,,,,,,,,,,,,
050534,  US,00058,     ,US 58,Southampton Pkwy,087,Southampton County,087,Southampton County,3.46,SR 35 & 58 Bus W of Courtland,Bus US 58 East Of Courtland,16000,F,86%,1%,1%,1%,11%,0%,F,0.0755,F,0.5609,16000,F,2009,,,,,,,,,,,,,,,
050078,  US,00058,     ,US 58, ,087,Southampton County,087,Southampton County,2.34,Bus US 58 East Of Courtland,Bus US 58 West of Franklin,20000,A,86%,1%,1%,1%,11%,0%,C,0.1076,A,0.5549,19000,A,2009,,,,,,,,,,,,,,,
050533,  US,00058,     ,US 58, ,087,Southampton County,087,Southampton County,0.16,Bus US 58 West of Franklin,US 58 Bus West of Franklin,18000,G,86%,1%,1%,1%,11%,0%,F,0.1076,N,0.5549,17000,G,2009,,,,,,,,,,,,,,,
050342,  US,00058,     ,US 58,Southampton Pkwy,087,Southampton County,087,Southampton County,3.74,US 58 Bus West of Franklin,US 258 South of Franklin,19000,F,86%,1%,1%,1%,11%,0%,F,0.0757,F,0.5285,18000,F,2009,,,,,,,,,,,,,,,
050341,  US,00058,     ,, ,087,Southampton County,087,Southampton County,3.02,US 258 South of Franklin,WCL Suffolk,19000,F,86%,1%,1%,1%,11%,0%,F,0.0709,F,0.5594,18000,F,2009,,,,,,,,,,,,,,,
150326,C4US,00058,     ,Bus US 58,Clay St,087,Southampton County,087,Southampton County,2.32,US 58,WCL Franklin,2800,B,98%,1%,1%,0%,0%,0%,C,0.1301,A,0.5664,3200,B,2009,,,,,,,,,,,,,,,
630103,C4US,00058,     ,Bus US 58,Clay St,145,City of Franklin,145,City of Franklin,1.18,WCL Franklin,Hunterdale Rd,3000,F,98%,1%,1%,0%,0%,0%,F,0.0983,F,0.5021,3500,F,2009,,,,,,,,,,,,,,,
630101,C4US,00058,     ,Bus US 58,Clay St,145,City of Franklin,145,City of Franklin,0.58,Hunterdale Rd,Homestead Rd,3900,F,98%,1%,1%,0%,0%,0%,F,0.0926,F,0.5531,4500,F,2009,,,,,,,,,,,,,,,
630098,C4US,00058,     ,Bus US 58,Clay St,145,City of Franklin,145,City of Franklin,0.35,Homestead Rd,Lee St,3300,F,98%,1%,1%,0%,0%,0%,F,0.0879,F,0.5405,3800,F,2009,,,,,,,,,,,,,,,
630096,C4US,00058,     ,Bus US 58,Clay St,145,City of Franklin,145,City of Franklin,0.16,Lee St,Gardner St,2200,F,98%,1%,1%,0%,0%,0%,F,0.0898,F,0.7881,2500,F,2009,,4400,F,98%,1%,1%,0%,0%,0%,F,0.0879,F,0.5456,4900,F
630086,C4US,00058,     ,Bus US 58,Clay St,145,City of Franklin,145,City of Franklin,0.17,Gardner St,High St,2000,F,98%,1%,1%,0%,0%,0%,F,0.0980,F,0.8340,2300,F,2009,,3500,F,98%,1%,1%,0%,0%,0%,F,0.0867,F,0.5737,3900,F
630084,C4US,00058,     ,Bus US 58,4th Avenue,145,City of Franklin,145,City of Franklin,0.26,High St,Mechanic St,1500,F,98%,1%,1%,0%,0%,0%,F,0.0971,F,0.5060,1700,F,2009,,,,,,,,,,,,,,,
630078,C4US,00058,     ,Bus US 58,Mechanic St,145,City of Franklin,145,City of Franklin,0.10,Fourth Ave,Second Ave,3700,G,98%,1%,1%,0%,0%,0%,F,,,,4200,G,2009,,,,,,,,,,,,,,,
630077,C4US,00058,     ,, ,145,City of Franklin,145,City of Franklin,0.19,US 258,ECL Franklin,8700,F,98%,1%,1%,0%,0%,0%,F,0.0918,F,0.5985,9900,F,2009,,,,,,,,,,,,,,,
050347,C4US,00058,     ,, ,087,Southampton County,087,Southampton County,0.03,ECL Franklin,Isle of Wight County Line,8700,F,98%,1%,1%,0%,0%,0%,F,0.0918,F,0.5985,9900,F,2009,,,,,,,,,,,,,,,
630097,C4US,00058,P    ,Bus US 58 Par,Lee Street,145,City of Franklin,145,City of Franklin,0.16,Bus 58 Clay St,High St,1400,F,97%,1%,1%,0%,0%,0%,F,0.1086,F,0.6882,1500,F,2009,,3500,F,98%,1%,1%,0%,0%,0%,F,0.0867,F,0.5737,3900,F
630085,C4US,00058,P    ,Bus US 58 Par,High St,145,City of Franklin,145,City of Franklin,0.27,Lee Street,Bus 58 Fourth Ave,2200,F,97%,1%,1%,0%,0%,0%,C,0.0966,F,0.5677,2400,F,2009,,4400,F,98%,1%,1%,0%,0%,0%,F,0.0879,F,0.5456,4900,F
050350,C6US,00058,     ,,Meherrin Rd,087,Southampton County,087,Southampton County,2.03,US 58 Southampton Pkwy,WCL Courtland,2800,F,93%,1%,1%,1%,4%,0%,F,0.1267,F,0.5064,2800,F,2009,,,,,,,,,,,,,,,
050443,C6US,00058,     ,,Meherrin Rd,201,Town of Courtland,087,Southampton County,0.14,WCL Courtland,SR 35 Main St,2800,N,93%,1%,1%,1%,4%,0%,N,0.1267,N,0.5064,2800,N,2009,,,,,,,,,,,,,,,
050349,C6US,00058,     ,Bus US 58,Main St,201,Town of Courtland,087,Southampton County,1.10,SR 35; Meherrin Rd,ECL Courtland,5800,F,93%,1%,1%,1%,4%,0%,C,0.0895,F,0.5036,6100,F,2009,,,,,,,,,,,,,,,
050444,C6US,00058,     ,Bus US 58,Jeruselem Rd,087,Southampton County,087,Southampton County,1.18,ECL Courtland,US 58 Southampton Pkwy,5800,N,93%,1%,1%,1%,4%,0%,N,0.0895,N,0.5036,6100,N,2009,,,,,,,,,,,,,,,
050027,  SR,00186,     ,VA 186,Hugs Rd,087,Southampton County,087,Southampton County,2.98,North Carolina State Line,WCL Branchville,1000,F,76%,1%,2%,2%,20%,0%,C,0.0949,F,0.5631,1100,F,2009,,,,,,,,,,,,,,,
050028,  SR,00186,     ,VA 186, ,175,Town of Branchville,087,Southampton County,0.62,WCL Branchville,ECL Branchville,1000,N,76%,1%,2%,2%,20%,0%,N,0.0949,N,0.5631,1100,N,2009,,,,,,,,,,,,,,,
150219,  SR,00186,     ,VA 186,Pittman Rd,087,Southampton County,087,Southampton County,2.35,ECL Branchville,WCL Boykins,1300,F,76%,1%,2%,2%,20%,0%,F,0.0946,F,0.5403,1300,F,2009,,,,,,,,,,,,,,,
050351,  SR,00186,     ,VA 186,Pittman Rd,174,Town of Boykins,087,Southampton County,0.26,WCL Boykins,SR 35 Meherrin Rd,1900,F,76%,1%,2%,2%,20%,0%,F,0.0975,F,0.5414,1900,F,2009,,,,,,,,,,,,,,,
050029,  SR,00189,     ,VA 189,South Quay Rd,087,Southampton County,087,Southampton County,2.20,US 258 Smiths Ferry Rd,87-714 Pretlow Rd,1800,F,86%,0%,1%,1%,12%,0%,F,0.1048,F,0.6478,1900,F,2009,,,,,,,,,,,,,,,
050080,  SR,00189,     ,VA 189,South Quay Rd,087,Southampton County,087,Southampton County,0.22,87-714 Pretlow Rd,SCL Suffolk,2300,F,86%,0%,1%,1%,12%,0%,F,0.1009,F,0.5932,2400,F,2009,,,,,,,,,,,,,,,
050352,  US,00258,     ,US 258,Smith Ferry Rd,087,Southampton County,087,Southampton County,5.28,North Carolina State Line,SR 189 South Quay Rd,5200,F,92%,1%,1%,0%,6%,0%,F,0.0863,F,0.5904,5500,F,2009,,,,,,,,,,,,,,,
050059,  US,00258,     ,US 258,Smith Ferry Rd,087,Southampton County,087,Southampton County,3.43,SR 189 South Quay Rd,87-684 Dogwood Bend Rd,3500,F,92%,1%,1%,0%,6%,0%,C,0.0872,F,0.5607,3700,F,2009,,,,,,,,,,,,,,,
050353,  US,00258,     ,US 258,Smith Ferry Rd,087,Southampton County,087,Southampton County,0.29,87-684 Dogwood Bend Rd,US 58 Southhampton Parkway; Bus US 258 South St,4100,F,92%,1%,1%,0%,6%,0%,F,0.0829,F,0.5687,4300,F,2009,,,,,,,,,,,,,,,
050341,  US,00258,     ,, ,087,Southampton County,087,Southampton County,3.02,US 58 Southhampton Parkway; Bus US 258 South St,WCL Suffolk,19000,F,86%,1%,1%,1%,11%,0%,F,0.0709,F,0.5594,18000,F,2009,,,,,,,,,,,,,,,
050341,  US,00258,     ,, ,087,Southampton County,087,Southampton County,3.02,US 58 Southhampton Parkway; Bus US 258 South St,WCL Suffolk,19000,F,86%,1%,1%,1%,11%,0%,F,0.0709,F,0.5594,18000,F,2009,,,,,,,,,,,,,,,
797463, 1US,00258,P    ,US 258 Par, ,087,Southampton County,087,Southampton County,0.11,US 258- 9A US 58-E447A,US 258- 9B US 58-W447,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
630108,C2US,00258,     ,Bus US 258,South St,087,Southampton County,087,Southampton County,0.01,US 258 Smith Ferry Road,SCL Franklin,4900,F,98%,1%,0%,0%,0%,0%,F,0.0865,F,0.5374,5300,F,2009,,,,,,,,,,,,,,,
630099,C2US,00258,     ,Bus US 258,South St,145,City of Franklin,145,City of Franklin,0.28,SCL Franklin,College Drive,5800,F,98%,1%,0%,0%,0%,0%,C,0.0895,F,0.5258,6300,F,2009,,,,,,,,,,,,,,,
630307,C2US,00258,     ,Bus US 258,South St,145,City of Franklin,145,City of Franklin,0.25,College Drive,Bank Street,9000,F,98%,1%,0%,0%,0%,0%,F,0.0873,F,0.5106,9700,F,2009,,,,,,,,,,,,,,,
630308,C2US,00258,     ,Bus US 258,South St,145,City of Franklin,145,City of Franklin,0.35,Bank Street,Roosevelt Street,8200,F,98%,1%,0%,0%,0%,0%,F,0.0890,F,0.5205,8800,F,2009,,,,,,,,,,,,,,,
630309,C2US,00258,     ,Bus US 258,South St,145,City of Franklin,145,City of Franklin,0.15,Roosevelt Street,Oak Street,8200,F,98%,1%,0%,0%,0%,0%,F,0.0902,F,0.5391,8800,F,2009,,,,,,,,,,,,,,,
630310,C2US,00258,     ,Bus US 258,South St,145,City of Franklin,145,City of Franklin,0.16,Oak Street,Pretlow Street,7200,F,98%,1%,0%,0%,0%,0%,F,0.0935,F,0.5380,7700,F,2009,,,,,,,,,,,,,,,
630093,C2US,00258,     ,Bus US 258,South St,145,City of Franklin,145,City of Franklin,0.21,Pretlow Street,High Street,5900,F,98%,1%,0%,0%,0%,0%,F,0.0891,F,0.5048,6300,F,2009,,,,,,,,,,,,,,,
630311,C2US,00258,     ,Bus US 258,South St,145,City of Franklin,145,City of Franklin,0.16,High Street,Main Street,3500,F,98%,0%,1%,0%,1%,0%,F,0.0863,F,0.5350,3800,F,2009,,,,,,,,,,,,,,,
630083,C2US,00258,     ,Bus US 258,Main St,145,City of Franklin,145,City of Franklin,0.29,South Street,Second Avenue,3100,F,98%,0%,1%,0%,1%,0%,C,0.0926,F,0.5382,3300,F,2009,,,,,,,,,,,,,,,
630080,C2US,00258,     ,Bus US 258,Second Avenue,145,City of Franklin,145,City of Franklin,0.12,Main Street,Bus US 58 Mechanic Street,5500,F,98%,0%,1%,0%,1%,0%,F,0.0932,F,0.5791,6000,F,2009,,,,,,,,,,,,,,,
630077,C2US,00258,     ,, ,145,City of Franklin,145,City of Franklin,0.19,US 258,ECL Franklin,8700,F,98%,1%,1%,0%,0%,0%,F,0.0918,F,0.5985,9900,F,2009,,,,,,,,,,,,,,,
050347,C2US,00258,     ,, ,087,Southampton County,087,Southampton County,0.03,ECL Franklin,Isle of Wight County Line,8700,F,98%,1%,1%,0%,0%,0%,F,0.0918,F,0.5985,9900,F,2009,,,,,,,,,,,,,,,
050354,  SR,00308,     ,VA 308,Southhampton Correctional Center,087,Southampton County,087,Southampton County,3.65,US 58 Southampton Pkwy,87-612 Rivers Mill Rd,420,F,94%,1%,1%,1%,2%,0%,C,0.1319,F,0.5645,440,F,2009,,,,,,,,,,,,,,,
050356,  US,00460,     ,US 460,General Mahone Blvd,087,Southampton County,087,Southampton County,3.72,Sussex County Line,WCL Ivor,9400,A,84%,1%,1%,1%,13%,0%,C,0.1359,A,0.5540,8700,A,2009,,,,,,,,,,,,,,,
050438,  US,00460,     ,US 460,General Mahone Blvd,243,Town of Ivor,087,Southampton County,0.65,WCL Ivor,87-616 Main St,9400,N,84%,1%,1%,1%,13%,0%,N,0.1359,N,0.5540,8700,N,2009,,,,,,,,,,,,,,,
050355,  US,00460,     ,US 460,General Mahone Blvd,243,Town of Ivor,087,Southampton County,0.64,87-616 Main St,ECL Ivor,9300,F,84%,1%,1%,1%,13%,0%,F,0.0772,F,0.5247,8600,F,2009,,,,,,,,,,,,,,,
050439,  US,00460,     ,US 460,General Mahone Blvd,087,Southampton County,087,Southampton County,3.59,ECL Ivor,Isle of Wight County Line,9300,N,84%,1%,1%,1%,13%,0%,N,0.0772,N,0.5247,8600,N,2009,,,,,,,,,,,,,,,
780791,  FR,00861,     ,FR 861, ,087,Southampton County,087,Southampton County,0.18,Dead End,Dead End,20,R,,,,,,,X,,,,,,04/13/2006,,,,,,,,,,,,,,,
780792,  FR,00863,     ,FR 863, ,087,Southampton County,087,Southampton County,0.25,Dead End,US 258,1,R,,,,,,,X,,,,,,04/13/2006,,,,,,,,,,,,,,,
780862,  FR,00943,     ,FR 943, ,087,Southampton County,087,Southampton County,0.42,Dead End,Bus US 58,170,R,,,,,,,X,,,,,,05/22/2009,,,,,,,,,,,,,,,
780863,  FR,00944,     ,FR 944,Hancock Dr,087,Southampton County,087,Southampton County,0.55,87-775 Sunlight Dr,Dead End,10,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
771563,  87,00600,     ,87-600,Booth Rd,087,Southampton County,087,Southampton County,3.90,Sussex County Line,"87-616 W, Ivor Rd",140,R,,,,,,,X,,,,,,04/06/2006,,,,,,,,,,,,,,,
771564,  87,00600,     ,87-600,Doles Rd,087,Southampton County,087,Southampton County,5.82,"87-616 E, Ivor Rd",87-635 OBerry Church Rd,110,R,,,,,,,X,,,,,,04/06/2006,,,,,,,,,,,,,,,
771565,  87,00601,     ,87-601,Kellos Mill Rd,087,Southampton County,087,Southampton County,3.60,87-605 Millfield Rd,Sussex County Line,160,R,,,,,,,X,,,,,,04/06/2006,,,,,,,,,,,,,,,
771566,  87,00602,     ,87-602,No Head Lane,087,Southampton County,087,Southampton County,0.50,87-629 Line Pine Rd,Dead End,140,R,,,,,,,X,,,,,,03/12/2009,,,,,,,,,,,,,,,
400130,  87,00603,     ,87-603,Unity Rd,087,Southampton County,087,Southampton County,2.50,87-616 Ivor Rd,"87-641 W, Cottage Hill Rd",180,F,96%,3%,1%,0%,0%,0%,F,0.1571,F,0.5667,190,F,2009,,,,,,,,,,,,,,,
400131,  87,00603,     ,87-603,Unity Rd,087,Southampton County,087,Southampton County,2.17,"87-641 W, Cottage Hill Rd","87-631 E, Corinth Rd",410,F,96%,3%,1%,0%,0%,0%,C,0.1266,F,0.6200,430,F,2009,,,,,,,,,,,,,,,
400132,  87,00603,     ,87-603,Unity Rd,087,Southampton County,087,Southampton County,3.70,"87-631 E, Corinth Rd","87-635 W, OBerry Church Rd",510,F,96%,3%,1%,0%,0%,0%,F,0.1103,F,0.7155,530,F,2009,,,,,,,,,,,,,,,
400133,  87,00603,     ,87-603,Backwater Rd,087,Southampton County,087,Southampton County,1.30,87-635 EAST,Isle of Wight County Line,950,F,96%,3%,1%,0%,0%,0%,F,0.1031,F,0.6905,1000,F,2009,,,,,,,,,,,,,,,
771567,  87,00604,     ,87-604,Mount Hope Rd,087,Southampton County,087,Southampton County,0.01,87-618 Crumpler Rd,Surry County Line,90,R,,,,,,,X,,,,,,04/12/2006,,,,,,,,,,,,,,,
771568,  87,00605,     ,87-605,Mill Field Rd,087,Southampton County,087,Southampton County,1.57,Sussex County Line,"87-628 S, Courtland Rd",190,R,,,,,,,X,,,,,,04/12/2006,,,,,,,,,,,,,,,
400134,  87,00605,     ,87-605,Millfield Rd,087,Southampton County,087,Southampton County,1.59,"87-628 N, Courtland Rd",87-633 Skyline Rd,140,F,100%,0%,0%,0%,0%,0%,F,0.1295,F,0.7222,140,F,2009,,,,,,,,,,,,,,,
400135,  87,00605,     ,87-605,Millfield Rd,087,Southampton County,087,Southampton County,3.20,87-633 Skyline Rd,87-616 Ivor Rd,140,F,100%,0%,0%,0%,0%,0%,C,0.1824,F,0.7407,150,F,2009,,,,,,,,,,,,,,,
400136,  87,00605,     ,87-605,Millfield Rd,087,Southampton County,087,Southampton County,2.33,87-616 Ivor Rd,87-614 Seacock Chapel Rd,170,F,100%,0%,0%,0%,0%,0%,F,0.1616,F,0.7797,180,F,2009,,,,,,,,,,,,,,,
771569,  87,00606,     ,87-606,Cabin Point Rd,087,Southampton County,087,Southampton County,4.80,SR 35 Plank Rd,"87-607 S, Horse Pen Rd",100,R,,,,,,,X,,,,,,04/12/2006,,,,,,,,,,,,,,,
771570,  87,00606,     ,87-606,Cabin Point Rd,087,Southampton County,087,Southampton County,2.70,"87-607 S, Horse Pen Rd",Sussex County Line,20,R,,,,,,,X,,,,,,04/12/2006,,,,,,,,,,,,,,,
771571,  87,00607,     ,87-607,Farmers Bridge Rd,087,Southampton County,087,Southampton County,0.50,Sussex County Line,"SR 35 N, Plank Rd",30,R,,,,,,,X,,,,,,03/12/2009,,,,,,,,,,,,,,,
771572,  87,00607,     ,87-607,Urquhard Quarter,087,Southampton County,087,Southampton County,2.20,"SR 35 S, Plank Rd","87-606 N, Cabin Point Rd",30,R,,,,,,,X,,,,,,03/12/2009,,,,,,,,,,,,,,,
771573,  87,00607,     ,87-607,Horse Pen Rd,087,Southampton County,087,Southampton County,2.10,"87-606 S, Cabin Point Rd","87-628 N, Wakefield Rd",40,R,,,,,,,X,,,,,,04/12/2006,,,,,,,,,,,,,,,
771574,  87,00607,     ,87-607, ,087,Southampton County,087,Southampton County,1.20,"87-628 S, Wakefield Rd",87-633 St Luke Rd,240,R,,,,,,,X,,,,,,04/12/2006,,,,,,,,,,,,,,,
771575,  87,00608,     ,87-608,Everett Rd,087,Southampton County,087,Southampton County,1.40,87-655 Brandy Pond Rd,"87-609 W, Pope Station Rd",20,R,,,,,,,X,,,,,,03/12/2009,,,,,,,,,,,,,,,
771576,  87,00608,     ,87-608,Mill Neck Rd,087,Southampton County,087,Southampton County,2.90,"87-609 E, Pope Station Rd",Sussex County Line,60,R,,,,,,,X,,,,,,05/15/2009,,,,,,,,,,,,,,,
400137,  87,00609,     ,87-609,Pope Station Rd,087,Southampton County,087,Southampton County,3.10,87-735 Courthouse Rd; Three Creeks Rd,"87-608 E, Mill Neck Rd",80,F,78%,2%,3%,9%,8%,0%,F,,,,80,F,2009,,,,,,,,,,,,,,,
400138,  87,00609,     ,87-609,Pope Station Rd,087,Southampton County,087,Southampton County,3.13,"87-608 E, Mill Neck Rd",87-653 Carys Bridge Rd,120,F,78%,2%,3%,9%,8%,0%,C,0.1290,F,0.5625,120,F,2009,,,,,,,,,,,,,,,
771577,  87,00609,     ,87-609,Pope Station Rd,087,Southampton County,087,Southampton County,4.50,87-653 Carys Bridge Rd,US 58 Southampton Pkwy,140,R,,,,,,,X,,,,,,04/12/2006,,,,,,,,,,,,,,,
771578,  87,00609,     ,87-609,Pope Station Rd,087,Southampton County,087,Southampton County,1.59,US 58 Southampton Pkwy,87-658 Cedar View,620,R,,,,,,,X,,,,,,04/12/2006,,,,,,,,,,,,,,,
771579,  87,00609,     ,87-609,Pope Station Rd,087,Southampton County,087,Southampton County,2.00,87-658 Cedar View,87-693 Garris Mill Rd,300,R,,,,,,,X,,,,,,04/12/2006,,,,,,,,,,,,,,,
771580,  87,00610,     ,87-610,Mason Rd,087,Southampton County,087,Southampton County,1.20,87-612 Rivers Mill Rd; Fortsville Rd,Sussex County Line,550,R,,,,,,,X,,,,,,03/14/2006,,,,,,,,,,,,,,,
771581,  87,00611,     ,87-611,Rochelle St,201,Town of Courtland,087,Southampton County,0.18,Bus US 58,87-1509 Linden St,360,R,,,,,,,X,,,,,,03/14/2006,,,,,,,,,,,,,,,
771582,  87,00611,     ,87-611,Rochelle St,201,Town of Courtland,087,Southampton County,0.02,87-1509 Linden St,87-1522 Linden St,330,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
771583,  87,00611,     ,87-611,Rochelle St,201,Town of Courtland,087,Southampton County,0.13,87-1522 Linden St,87-1506 Robertson St,710,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
771584,  87,00611,     ,87-611,Rochelle St,201,Town of Courtland,087,Southampton County,0.10,87-1506 Robertson St,ECL Courtland,690,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
771585,  87,00611,     ,87-611,Flaggy Run Rd,087,Southampton County,087,Southampton County,2.07,ECL Courtland,87-649 Country Club Rd,270,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
771586,  87,00611,     ,87-611,Flaggy Run Rd,087,Southampton County,087,Southampton County,3.90,87-649 Country Club Rd,"87-641 N, Sedley Rd",200,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
771587,  87,00611,     ,87-611,Black Creek Rd,087,Southampton County,087,Southampton County,0.90,"87-641 S, Sedley Rd","87-635 W, OBerry Church Rd",1100,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
771588,  87,00611,     ,87-611,Joyners Bridge Rd,087,Southampton County,087,Southampton County,1.50,"87-635 E, Black Creek Rd",Isle of Wight County Line,960,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
771589,  87,00612,     ,87-612,Fortsville Rd,087,Southampton County,087,Southampton County,1.10,Sussex County Line,87-615 Adams Grove Rd,80,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
771590,  87,00612,     ,87-612,Fortsville Rd,087,Southampton County,087,Southampton County,3.40,87-615 Adams Grove Rd,87-610 Mason Rd,30,R,,,,,,,X,,,,,,05/22/2009,,,,,,,,,,,,,,,
