Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
658140, 3US,00001,P    ,,Washington St,123,City of Petersburg,123,City of Petersburg,0.24,Guarantee St,BUS US 460 Par; SR 36 Market St,9500,G,97%,1%,1%,1%,1%,0%,F,0.0882,F,0.0000,10000,G,2009,,19000,G,96%,1%,1%,1%,1%,0%,F,0.0000,?,0.0000,20000,G
658095, 3US,00001,P    ,,Market St,123,City of Petersburg,123,City of Petersburg,0.38,SR 36; Bus US 460 Par Washington St,SR 36 Grove Ave,3300,G,97%,1%,1%,0%,0%,0%,C,0.0893,F,0.0000,3600,G,2009,,,,,,,,,,,,,,,
658100, 3US,00001,P    ,,Old St,123,City of Petersburg,123,City of Petersburg,0.13,SR 36; Market St,Sycamore St,3500,G,97%,1%,1%,0%,0%,0%,F,0.0943,F,0.0000,3800,G,2009,,,,,,,,,,,,,,,
658045, 3US,00001,P    ,,Sycamore St,123,City of Petersburg,123,City of Petersburg,0.04,Old St,Bollingbrook St,3400,G,97%,1%,1%,0%,0%,0%,F,0.0935,F,0.0000,3700,G,2009,,,,,,,,,,,,,,,
658057, 3US,00001,P    ,,Bollingbrook St,123,City of Petersburg,123,City of Petersburg,0.10,Sycamore St,"US 1, US 301 2nd St",3500,G,97%,1%,1%,0%,0%,0%,F,0.0880,F,0.7724,3800,G,2009,,,,,,,,,,,,,,,
658060,  SR,00036,     ,VA 36,Fleet St,123,City of Petersburg,123,City of Petersburg,0.12,WCL Petersburg,Grove Ave,7900,G,99%,0%,0%,0%,0%,0%,C,0.0883,F,0.0000,8400,G,2009,,,,,,,,,,,,,,,
658061,  SR,00036,     ,VA 36,Grove Ave,123,City of Petersburg,123,City of Petersburg,0.54,Fleet St,"US 1 Par, Market St",3000,G,97%,0%,1%,1%,0%,0%,C,0.1008,F,0.6089,3200,G,2009,,,,,,,,,,,,,,,
658095,  SR,00036,     ,,Market St,123,City of Petersburg,123,City of Petersburg,0.38,US 1,"US 1 Par; BUS US 460 Par, Washington St",3300,G,97%,1%,1%,0%,0%,0%,C,0.0893,F,0.0000,3600,G,2009,,,,,,,,,,,,,,,
140099,  SR,00036,     ,VA 36,Market St,123,City of Petersburg,123,City of Petersburg,0.11,"US 1 Par; Bus US 460 Par, Washington St","US 1, Bus US 460 Wythe St",5700,G,99%,0%,0%,0%,0%,0%,F,0.0899,F,0.7686,6100,G,2009,,,,,,,,,,,,,,,
658145,  SR,00036,     ,,Wythe St,123,City of Petersburg,123,City of Petersburg,0.20,"US 1, BUS US 460 Wythe St",ALT US 301 Sycamore St,9900,G,96%,1%,1%,1%,1%,0%,F,,,,11000,G,2009,,,,,,,,,,,,,,,
