Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rappahannock Maintenance Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
787381,  SR,00048,     ,VA 48,Skyline Dr,078,Rappahannock County,US ,Federal,4.99,Madison County Line,Page County Line,800,O,,,,,,,X,,,,,,2009,,,,,,,,,,,,,,,
787383,  SR,00048,     ,VA 48,Skyline Dr,078,Rappahannock County,US ,Federal,4.41,Page County Line,Page County Line,650,O,,,,,,,X,,,,,,2009,,,,,,,,,,,,,,,
787385,  SR,00048,     ,VA 48,Skyline Dr,078,Rappahannock County,US ,Federal,5.92,Page County Line,Warren County Line,650,O,,,,,,,X,,,,,,2009,,,,,,,,,,,,,,,
787387,  SR,00048,     ,VA 48,Skyline Dr,078,Rappahannock County,US ,Federal,3.87,Warren County Line,Warren County Line,650,O,,,,,,,X,,,,,,2009,,,,,,,,,,,,,,,
070070,  US,00211,     ,US 211,Lee Highway,078,Rappahannock County,078,Rappahannock County,7.09,Page County Line; Skyline Drive,US 522 Sperryville,2300,G,96%,1%,1%,1%,2%,0%,F,,,,2400,G,2009,,,,,,,,,,,,,,,
070353,  US,00211,     ,,Lee Highway,078,Rappahannock County,078,Rappahannock County,4.62,US 522 Sperryville,US 211 Bus South of Washington,4500,G,96%,1%,1%,1%,2%,0%,F,,,,4600,G,2009,,,,,,,,,,,,,,,
070352,  US,00211,     ,,Lee Highway,078,Rappahannock County,078,Rappahannock County,0.68,US 211 Bus South of Washington,WCL Washington,5100,G,96%,1%,1%,1%,2%,0%,F,,,,5200,G,2009,,,,,,,,,,,,,,,
070372,  US,00211,     ,,Lee Highway,322,Town of Washington,078,Rappahannock County,0.02,WCL Washington,ECL Washington,5100,N,96%,1%,1%,1%,2%,0%,N,,,,5200,N,2009,,,,,,,,,,,,,,,
070377,  US,00211,     ,,Lee Highway,078,Rappahannock County,078,Rappahannock County,0.39,ECL Washington,US 211 Bus East of Washington,5100,N,96%,1%,1%,1%,2%,0%,N,,,,5200,N,2009,,,,,,,,,,,,,,,
070202,  US,00211,     ,,Lee Highway,078,Rappahannock County,078,Rappahannock County,2.38,US 211 Bus East of Washington,US 522 Zachary Taylor Ave,5700,G,96%,1%,1%,1%,2%,0%,F,,,,5800,G,2009,,,,,,,,,,,,,,,
070351,  US,00211,     ,US 211,Lee Highway,078,Rappahannock County,078,Rappahannock County,9.17,US 522 Zachary Taylor Ave,Culpeper County Line,5600,G,97%,1%,1%,1%,1%,0%,F,,,,6200,G,2009,,,,,,,,,,,,,,,
