ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	Prepared	10/1/2011
Daily Vehicle Miles Traveled (DVMT) by Maintenance Jurisdiction by Vehicle Class																																																												
Public Road Segments Maintained by the Commonwealth of Virginia (VDOT), Virginia Local Jurisdictions, the Federal Government or Local Toll Authorities																																																												
> > > > This report includes road segments maintained by VDOT, but outside of Virginia so it is not expected to match Virginia Public Road reports from sources such as FHWA or DMV < < < < 																																																												
Road Length values temporarilly not included in this report pending publication of official road length values																																																												
2010																																																												
																																																												
									VDOT Secondary						VDOT Primary						VDOT Interstate						County Secondary						Urban Secondary						Urban Primary						Other Secondary						Other Primary						All Roads			
													%	%					%	%					%	%					%	%					%	%					%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of	of		Secondary	State		of	of		Secondary	State		of	of		Primary	State		of	of		Secondary	State		of	of		Primary	State		of		State
						Federal				Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		Secondary	State	Road	Total	Total		Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		State	Road	Total
						Vehicle				Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction				Class			DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																																																												
1	Bristol District	010	Bland County			01	Motorcycles	              	0	0.00%	0.00%				279	0.00%	0.00%				2,766	0.00%	0.00%																																		3,045	0.00%		
1	Bristol District	010	Bland County			02	Passenger Cars	              	62,761	0.16%	0.03%				46,651	0.07%	0.02%				353,785	0.53%	0.16%																																		463,197	0.21%		
1	Bristol District	010	Bland County			03	Two Axle, 4 Tire Single Unit Vehicles	              	2,873	0.01%	0.00%				18,594	0.03%	0.01%				101,513	0.15%	0.05%																																		122,981	0.05%		
1	Bristol District	010	Bland County			04	Busses	              	68	0.00%	0.00%				545	0.00%	0.00%				3,678	0.01%	0.00%																																		4,291	0.00%		
1	Bristol District	010	Bland County			05	Two Axle, 6 Tire Single Unit Trucks	              	291	0.00%	0.00%				639	0.00%	0.00%				4,744	0.01%	0.00%																																		5,675	0.00%		
1	Bristol District	010	Bland County			06	Three Axle Single Unit Trucks	              	95	0.00%	0.00%				530	0.00%	0.00%				2,565	0.00%	0.00%																																		3,190	0.00%		
