ReportID:	1220	DataYear:	2012		ReportID:	1220	DataYear:	2012		ReportID:	1220	DataYear:	2012		ReportID:	1220	DataYear:	2012		ReportID:	1220	DataYear:	2012		ReportID:	1220	DataYear:	2012	Prepared	8/5/2013
Daily Vehicle Miles Traveled (DVMT) by Physical Jurisdiction by Vehicle Class																														
Public Road Segments within the Commonwealth of Virginia																														
Road Length values temporarilly not included in this report pending publication of official road length values																														
2012																														
																														
									Secondary						Primary						Interstate						All Roads			
													%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of		State
						Federal				Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		State	Road	Total
						Vehicle				Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction				Class			DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																														
 		001	Accomack County			01	Motorcycles	              	207	0.00%	0.00%				2,093	0.00%	0.00%				0	0.00%	0.00%				2,300	0.00%		
 		001	Accomack County			02	Passenger Cars	              	230,497	0.37%	0.10%				550,487	0.60%	0.25%				0	0.00%	0.00%				780,984	0.35%		
 		001	Accomack County			03	Two Axle, 4 Tire Single Unit Vehicles	              	9,212	0.01%	0.00%				140,501	0.15%	0.06%				0	0.00%	0.00%				149,713	0.07%		
 		001	Accomack County			04	Busses	              	286	0.00%	0.00%				4,340	0.00%	0.00%				0	0.00%	0.00%				4,626	0.00%		
 		001	Accomack County			05	Two Axle, 6 Tire Single Unit Trucks	              	310	0.00%	0.00%				5,570	0.01%	0.00%				0	0.00%	0.00%				5,880	0.00%		
 		001	Accomack County			06	Three Axle Single Unit Trucks	              	240	0.00%	0.00%				4,991	0.01%	0.00%				0	0.00%	0.00%				5,230	0.00%		
 		001	Accomack County			07	Four or More Axle Single Unit Trucks	              	18	0.00%	0.00%				925	0.00%	0.00%				0	0.00%	0.00%				943	0.00%		
 		001	Accomack County			08	Four Axle or Fewer Single Trailers	              	149	0.00%	0.00%				2,364	0.00%	0.00%				0	0.00%	0.00%				2,512	0.00%		
 		001	Accomack County			09	Five Axle Single Trailers	              	78	0.00%	0.00%				32,604	0.04%	0.01%				0	0.00%	0.00%				32,681	0.01%		
 		001	Accomack County			10	Six or More Axle Single Trailers	              	0	0.00%	0.00%				247	0.00%	0.00%				0	0.00%	0.00%				247	0.00%		
 		001	Accomack County			11	Five Axle or Fewer Multi-Trailers	              	0	0.00%	0.00%				6	0.00%	0.00%				0	0.00%	0.00%				6	0.00%		
 		001	Accomack County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				14	0.00%	0.00%				0	0.00%	0.00%				14	0.00%		
 		001	Accomack County			13	Seven or More Axle Multi-Trailers	              	0	0.00%	0.00%				1	0.00%	0.00%				0	0.00%	0.00%				1	0.00%		
 		001	Accomack County Total:						240,996	0.38%	0.11%				744,141	0.81%	0.34%				0	0.00%	0.00%				985,138	0.45%		
 		002	Albemarle County			01	Motorcycles	              	1,319	0.00%	0.00%				5,740	0.01%	0.00%				3,119	0.00%	0.00%				10,177	0.00%		
 		002	Albemarle County			02	Passenger Cars	              	792,709	1.26%	0.36%				1,195,481	1.30%	0.54%				798,615	1.21%	0.36%				2,786,805	1.26%		
 		002	Albemarle County			03	Two Axle, 4 Tire Single Unit Vehicles	              	97,985	0.16%	0.04%				243,141	0.26%	0.11%				176,500	0.27%	0.08%				517,626	0.23%		
 		002	Albemarle County			04	Busses	              	3,320	0.01%	0.00%				8,051	0.01%	0.00%				8,175	0.01%	0.00%				19,546	0.01%		
 		002	Albemarle County			05	Two Axle, 6 Tire Single Unit Trucks	              	3,835	0.01%	0.00%				10,980	0.01%	0.00%				9,190	0.01%	0.00%				24,006	0.01%		
 		002	Albemarle County			06	Three Axle Single Unit Trucks	              	3,198	0.01%	0.00%				7,649	0.01%	0.00%				5,923	0.01%	0.00%				16,769	0.01%		
 		002	Albemarle County			07	Four or More Axle Single Unit Trucks	              	872	0.00%	0.00%				1,957	0.00%	0.00%				709	0.00%	0.00%				3,538	0.00%		
 		002	Albemarle County			08	Four Axle or Fewer Single Trailers	              	706	0.00%	0.00%				4,813	0.01%	0.00%				6,009	0.01%	0.00%				11,528	0.01%		
 		002	Albemarle County			09	Five Axle Single Trailers	              	609	0.00%	0.00%				37,570	0.04%	0.02%				90,751	0.14%	0.04%				128,931	0.06%		
 		002	Albemarle County			10	Six or More Axle Single Trailers	              	35	0.00%	0.00%				828	0.00%	0.00%				1,513	0.00%	0.00%				2,375	0.00%		
 		002	Albemarle County			11	Five Axle or Fewer Multi-Trailers	              	14	0.00%	0.00%				1,704	0.00%	0.00%				2,105	0.00%	0.00%				3,824	0.00%		
 		002	Albemarle County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				416	0.00%	0.00%				869	0.00%	0.00%				1,285	0.00%		
 		002	Albemarle County			13	Seven or More Axle Multi-Trailers	              	0	0.00%	0.00%				3	0.00%	0.00%				3	0.00%	0.00%				6	0.00%		
 		002	Albemarle County Total:						904,601	1.43%	0.41%				1,518,332	1.65%	0.69%				1,103,482	1.67%	0.50%				3,526,415	1.59%		
 		003	Alleghany County			01	Motorcycles	              	350	0.00%	0.00%				847	0.00%	0.00%				1,686	0.00%	0.00%				2,882	0.00%		
 		003	Alleghany County			02	Passenger Cars	              	89,736	0.14%	0.04%				75,829	0.08%	0.03%				244,142	0.37%	0.11%				409,707	0.19%		
 		003	Alleghany County			03	Two Axle, 4 Tire Single Unit Vehicles	              	10,605	0.02%	0.00%				25,415	0.03%	0.01%				66,802	0.10%	0.03%				102,822	0.05%		
 		003	Alleghany County			04	Busses	              	402	0.00%	0.00%				754	0.00%	0.00%				2,692	0.00%	0.00%				3,849	0.00%		
 		003	Alleghany County			05	Two Axle, 6 Tire Single Unit Trucks	              	477	0.00%	0.00%				874	0.00%	0.00%				3,765	0.01%	0.00%				5,116	0.00%		
 		003	Alleghany County			06	Three Axle Single Unit Trucks	              	533	0.00%	0.00%				959	0.00%	0.00%				3,176	0.00%	0.00%				4,668	0.00%		
 		003	Alleghany County			07	Four or More Axle Single Unit Trucks	              	183	0.00%	0.00%				309	0.00%	0.00%				637	0.00%	0.00%				1,128	0.00%		
 		003	Alleghany County			08	Four Axle or Fewer Single Trailers	              	85	0.00%	0.00%				322	0.00%	0.00%				2,053	0.00%	0.00%				2,461	0.00%		
 		003	Alleghany County			09	Five Axle Single Trailers	              	181	0.00%	0.00%				3,516	0.00%	0.00%				80,877	0.12%	0.04%				84,574	0.04%		
 		003	Alleghany County			10	Six or More Axle Single Trailers	              	51	0.00%	0.00%				184	0.00%	0.00%				924	0.00%	0.00%				1,160	0.00%		
 		003	Alleghany County			11	Five Axle or Fewer Multi-Trailers	              	1	0.00%	0.00%				3	0.00%	0.00%				1,244	0.00%	0.00%				1,249	0.00%		
 		003	Alleghany County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				0	0.00%	0.00%				422	0.00%	0.00%				422	0.00%		
 		003	Alleghany County			13	Seven or More Axle Multi-Trailers	              	0	0.00%	0.00%				5	0.00%	0.00%				1	0.00%	0.00%				6	0.00%		
 		003	Alleghany County Total:						102,606	0.16%	0.05%				109,017	0.12%	0.05%				408,422	0.62%	0.18%				620,044	0.28%		
 		004	Amelia County			01	Motorcycles	              	538	0.00%	0.00%				1,187	0.00%	0.00%				0	0.00%	0.00%				1,725	0.00%		
 		004	Amelia County			02	Passenger Cars	              	138,106	0.22%	0.06%				227,989	0.25%	0.10%				0	0.00%	0.00%				366,095	0.17%		
 		004	Amelia County			03	Two Axle, 4 Tire Single Unit Vehicles	              	28,277	0.04%	0.01%				69,450	0.08%	0.03%				0	0.00%	0.00%				97,727	0.04%		
 		004	Amelia County			04	Busses	              	444	0.00%	0.00%				1,712	0.00%	0.00%				0	0.00%	0.00%				2,156	0.00%		
 		004	Amelia County			05	Two Axle, 6 Tire Single Unit Trucks	              	767	0.00%	0.00%				2,083	0.00%	0.00%				0	0.00%	0.00%				2,850	0.00%		
 		004	Amelia County			06	Three Axle Single Unit Trucks	              	866	0.00%	0.00%				1,812	0.00%	0.00%				0	0.00%	0.00%				2,678	0.00%		
