Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Martinsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
651845,  SR,00057,     ,VA 57,Fayette St,120,City of Martinsville,120,City of Martinsville,1.34,44-667 Koehler Rd,Pine Hall Rd,3100,G,99%,1%,0%,0%,0%,0%,F,0.0890,F,0.5519,3300,G,2011,,,,,,,,,,,,,,,
651831,  SR,00057,     ,VA 57,Fayette St,120,City of Martinsville,120,City of Martinsville,0.34,Pine Hall Rd,US 220 Memorial Blvd,3700,G,99%,1%,0%,0%,0%,0%,C,0.0883,F,0.5308,4000,G,2011,,,,,,,,,,,,,,,
651832,  SR,00057,     ,"Bus US 220, VA 57",Memorial Blvd,120,City of Martinsville,120,City of Martinsville,0.85,US 220 Memorial Blvd,Broad St,12000,G,97%,1%,1%,0%,2%,0%,C,0.0832,F,0.5339,13000,G,2011,,,,,,,,,,,,,,,
651835,  SR,00057,     ,"Bus US 220, VA 57",Memorial Blvd,120,City of Martinsville,120,City of Martinsville,0.25,Broad St,US 58; BUS US 220,15000,G,97%,1%,1%,0%,2%,0%,F,0.0869,F,0.5627,17000,G,2011,,,,,,,,,,,,,,,
651816,  SR,00057,     ,"Bus US 58, VA 57",Starling Ave,120,City of Martinsville,120,City of Martinsville,0.85,US 58; BUS US 220,Mulberry Rd,9100,G,98%,1%,0%,0%,1%,0%,C,0.0891,F,0.5735,9700,G,2011,,,,,,,,,,,,,,,
651814,  SR,00057,     ,"Bus US 58, VA 57",Starling Ave,120,City of Martinsville,120,City of Martinsville,0.15,Mulberry Rd,Church St,8100,G,98%,1%,0%,0%,1%,0%,F,0.0946,F,0.5537,8700,G,2011,,,,,,,,,,,,,,,
651813,  SR,00057,     ,"Bus US 58, VA 57",Church St,120,City of Martinsville,120,City of Martinsville,0.10,Starling Ave,Church St Ext,12000,G,98%,1%,0%,0%,0%,0%,C,0.0881,F,0.5915,13000,G,2011,,,,,,,,,,,,,,,
651811,  SR,00057,     ,"Bus US 58, VA 57",Church St,120,City of Martinsville,120,City of Martinsville,0.28,Church St Ext,Fairy St,9900,G,98%,1%,0%,0%,0%,0%,F,0.0881,F,0.6051,11000,G,2011,,,,,,,,,,,,,,,
651219,  SR,00057,     ,"Bus US 58, VA 57",E Church Rd,120,City of Martinsville,120,City of Martinsville,0.26,Fairy St,Brookdale St,9900,G,98%,1%,0%,0%,0%,0%,F,0.0911,F,0.6208,11000,G,2011,,,,,,,,,,,,,,,
