Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Boydton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
040599,  US,00058,     ,US 58, ,173,Town of Boydton,058,Mecklenburg County,0.60,WCL Boydton,NCL Boydton,4600,N,86%,1%,1%,1%,12%,0%,N,0.1008,N,0.0000,4700,N,2011,,,,,,,,,,,,,,,
040550,C2US,00058,     ,Bus US 58, ,173,Town of Boydton,058,Mecklenburg County,0.48,US 58 West of Boydton,SR 92,1500,G,98%,1%,0%,1%,0%,0%,F,0.0948,F,0.6076,1500,G,2011,,,,,,,,,,,,,,,
040549,C2US,00058,     ,Bus US 58, ,173,Town of Boydton,058,Mecklenburg County,0.55,SR 92,NCL Boydton,1300,G,98%,1%,0%,1%,0%,0%,C,0.1182,F,0.6750,1300,G,2011,,,,,,,,,,,,,,,
040783,  SR,00092,     ,VA 92, ,173,Town of Boydton,058,Mecklenburg County,0.32,US 58 Bus,NCL Boydton,1100,G,96%,1%,1%,0%,2%,0%,C,0.1107,F,0.7319,1200,G,2011,,,,,,,,,,,,,,,
404241,  58,00688,     ,58-688,Skipwith Rd,173,Town of Boydton,058,Mecklenburg County,0.15,Bus US 58,WCL Boydton,1100,G,96%,2%,0%,1%,0%,0%,F,0.1112,F,0.7123,1200,G,2011,,,,,,,,,,,,,,,
404256,  58,00707,     ,58-707,"Phillis Rd, Washington St",173,Town of Boydton,058,Mecklenburg County,0.31,SCL Boydton,58-1205 Decatur St,1100,G,96%,1%,0%,0%,2%,0%,C,0.1056,F,0.5785,1100,G,2011,,,,,,,,,,,,,,,
404257,  58,00707,     ,58-707,Washington St,173,Town of Boydton,058,Mecklenburg County,0.13,58-1205 Decatur St,US 58 BUS; SR 92,1400,G,96%,1%,0%,0%,2%,0%,F,0.1011,F,0.6066,1400,G,2011,,,,,,,,,,,,,,,
404275,  58,00756,     ,58-756,Jefferson St,173,Town of Boydton,058,Mecklenburg County,0.37,SCL Boydton,58-1201 School St,710,G,98%,1%,0%,0%,0%,0%,C,0.1089,F,0.5930,720,G,2011,,,,,,,,,,,,,,,
404276,  58,00756,     ,58-756,Jefferson St,173,Town of Boydton,058,Mecklenburg County,0.29,58-1201 School St,58-707 Washington St,540,G,98%,1%,0%,0%,0%,0%,F,0.1113,F,0.6320,550,G,2011,,,,,,,,,,,,,,,
753298,  58,00756,     ,58-756,Jefferson St,173,Town of Boydton,058,Mecklenburg County,0.12,58-707,58-1213 Jefferson St,290,R,,,,,,,X,,,,,,07/30/2007,,,,,,,,,,,,,,,
