Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Warrenton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
070256,  US,00015,     ,"US 15, US 29",Eastern Bypass,156,Town of Warrenton,030,Fauquier County,0.26,SCL Warrenton,NCL Warrenton,47000,G,91%,1%,1%,1%,7%,0%,F,0.0725,F,0.5626,47000,G,2011,,,,,,,,,,,,,,,
070018,C2US,00015,     ,"Bus US 15, Bus US 17, Bus US 29",James Madison Hwy,156,Town of Warrenton,156,Town of Warrenton,0.34,SCL Warrenton,US 17 Bus; Shirley Ave,10000,N,98%,1%,1%,1%,1%,0%,N,0.0986,N,0.0000,11000,N,2011,,,,,,,,,,,,,,,
678220,C2US,00015,     ,Bus US 15,Falmouth St,156,Town of Warrenton,156,Town of Warrenton,0.89,US 17 Bus; Shirley Ave,Mockingbird Lane,3900,G,98%,1%,1%,0%,0%,0%,C,0.0911,F,0.5372,4200,G,2011,,,,,,,,,,,,,,,
678200,C2US,00015,     ,Bus US 15,Main St,156,Town of Warrenton,156,Town of Warrenton,0.32,Mockingbird Lane,Culpeper St,6000,G,99%,0%,1%,0%,0%,0%,C,0.1031,F,0.5515,6200,G,2011,,,,,,,,,,,,,,,
678208,C2US,00015,     ,Bus US 15,Main St,156,Town of Warrenton,156,Town of Warrenton,0.05,Culpeper St,US 211 Bus,7100,G,,,,,,,X,0.1031,N,0.5515,7200,G,2011,,,,,,,,,,,,,,,
678210,C2US,00015,     ,"Bus US 15, Bus US 211",Main St,156,Town of Warrenton,156,Town of Warrenton,0.01,US 211 Bus,Alexandria Pike,6000,N,99%,0%,1%,0%,0%,0%,N,0.1031,N,0.5515,6200,N,2011,,,,,,,,,,,,,,,
678209,C2US,00015,     ,"Bus US 15, Bus US 211",Alexandria Pike,156,Town of Warrenton,156,Town of Warrenton,0.24,Main St,King St,6600,G,99%,1%,0%,0%,0%,0%,C,0.1005,F,0.5491,6700,G,2011,,,,,,,,,,,,,,,
678221,C2US,00015,     ,"Bus US 15, Bus US 211",Alexandria St,156,Town of Warrenton,156,Town of Warrenton,0.21,King St,Blackwell Rd,7000,G,99%,0%,0%,0%,0%,0%,F,0.0982,F,0.5630,7100,G,2011,,,,,,,,,,,,,,,
678222,C2US,00015,     ,"Bus US 15, Bus US 211",Blackwell Rd,156,Town of Warrenton,156,Town of Warrenton,0.58,Alexandria Pike,US 29 Bus US 211; Lee Hwy,7200,G,99%,0%,0%,0%,0%,0%,C,0.0988,F,0.5478,7300,G,2011,,,,,,,,,,,,,,,
