Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Staunton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
672248,  US,00011,     ,US 11,Greenville Ave,132,City of Staunton,132,City of Staunton,0.68,SCL Staunton,SR 261 Statler Blvd,14000,G,99%,1%,0%,0%,0%,0%,F,0.0928,F,0.5038,15000,G,2011,,,,,,,,,,,,,,,
672240,  US,00011,     ,US 11,Greenville Ave,132,City of Staunton,132,City of Staunton,0.50,SR 261 Statler Blvd,Hampton St,13000,G,99%,1%,0%,0%,0%,0%,C,0.0924,F,0.5329,14000,G,2011,,,,,,,,,,,,,,,
672239,  US,00011,     ,US 11,Greenville Ave,132,City of Staunton,132,City of Staunton,0.32,Hampton St,US 250 Richmond Rd,11000,G,99%,1%,0%,0%,0%,0%,F,0.0863,F,0.5056,12000,G,2011,,,,,,,,,,,,,,,
672237,  US,00011,     ,"US 11, US 250",Greenville Ave,132,City of Staunton,132,City of Staunton,0.07,US 250 Richmond Rd,"US 250, SR 254",16000,G,99%,1%,0%,0%,0%,0%,F,0.0867,F,0.5176,17000,G,2011,,,,,,,,,,,,,,,
672238,  US,00011,     ,"US 11, VA 254",Commerce Rd,132,City of Staunton,132,City of Staunton,0.68,"US 250, SR 254",SR 254 New Hope Rd,2500,G,96%,0%,1%,1%,1%,0%,C,0.0922,F,0.5547,2700,G,2011,,,,,,,,,,,,,,,
672244,  US,00011,     ,US 11,Commerce Rd,132,City of Staunton,132,City of Staunton,0.15,SR 254 New Hope Rd,SR 261 Statler Blvd,2700,G,96%,0%,1%,1%,1%,0%,F,0.0942,F,0.5323,2800,G,2011,,,,,,,,,,,,,,,
672211,  US,00011,     ,US 11,Commerce Rd,132,City of Staunton,132,City of Staunton,1.25,SR 261 Statler Blvd,Bells Lane,5700,G,97%,0%,1%,1%,1%,0%,F,0.0990,F,0.5148,6100,G,2011,,,,,,,,,,,,,,,
672214,  US,00011,     ,US 11,Commerce Rd,132,City of Staunton,132,City of Staunton,0.67,Bells Lane,Bus US 11,5200,G,97%,0%,1%,1%,1%,0%,C,0.0970,F,0.5793,5600,G,2011,,,,,,,,,,,,,,,
672260,  US,00011,     ,US 11,Commerce Rd,132,City of Staunton,132,City of Staunton,0.49,Bus US 11,SR 262 Woodrow Wilson Pkwy,12000,G,97%,0%,1%,1%,1%,0%,C,0.0936,F,0.5102,13000,G,2011,,,,,,,,,,,,,,,
