Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Toll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
796552,  SR,00267,W    ,VA 267 WB,Dulles Greenway,053,Loudoun County,TOL,Other Toll,0.34,SCL Leesburg,Battlefield Pkwy,13000,F,,,,,,,X,,,,14000,F,2011,,27000,F,,,,,,,X,,,,29000,F
796551,  SR,00267,W    ,VA 267 WB,Dulles Greenway,053,Loudoun County,TOL,Other Toll,2.31,Battlefield Pkwy,53-653 Shreve Mill Rd,15000,F,,,,,,,X,,,,16000,F,2011,,29000,F,,,,,,,X,,,,31000,F
781396,  SR,00267,W    ,VA 267 WB,Dulles Greenway,053,Loudoun County,TOL,Other Toll,2.31,53-653 Shreve Mill Rd,53-659 Belmont Ridge Rd,15000,F,,,,,,,X,,,,16000,F,2011,,31000,F,,,,,,,X,,,,33000,F
789765,  SR,00267,W    ,VA 267 WB,Dulles Greenway,053,Loudoun County,TOL,Other Toll,0.87,53-659 Belmont Ridge Rd,53-901 Claiborne Pkwy,15000,F,,,,,,,X,,,,18000,F,2011,,30000,F,,,,,,,X,,,,36000,F
792271,  SR,00267,W    ,VA 267 WB,Dulles Greenway,053,Loudoun County,TOL,Other Toll,1.82,53-901 Claiborne Pkwy,53-772 Ashburn Village Blvd,17000,F,,,,,,,X,,,,20000,F,2011,,34000,F,,,,,,,X,,,,41000,F
792272,  SR,00267,W    ,VA 267 WB,Dulles Greenway,053,Loudoun County,TOL,Other Toll,1.32,53-772 Ashburn Village Blvd,53-1950 Loudoun County Pkwy,19000,F,,,,,,,X,0.1998,F,0.0000,23000,F,2011,,39000,F,,,,,,,X,0.1154,F,0.0000,46000,F
792273,  SR,00267,W    ,VA 267 WB,Dulles Greenway,053,Loudoun County,TOL,Other Toll,1.24,53-1950 Loudoun County Pkwy,53-606 Old Ox Rd,21000,F,,,,,,,X,0.2037,F,0.0000,25000,F,2011,,43000,F,,,,,,,X,0.1174,F,0.0000,51000,F
792274,  SR,00267,W    ,VA 267 WB,Dulles Greenway,053,Loudoun County,TOL,Other Toll,1.75,53-606 Old Ox Rd,SR 28 Sully Rd,21000,F,,,,,,,X,,,,25000,F,2011,,42000,F,,,,,,,X,,,,49000,F
660619,  SR,00337,     ,VA 337,Jordan Bridge,131,City of Chesapeake,TOL,Other Toll,0.39,ECL Portsmouth,Toll Authority Boundary,6800,N,97%,1%,0%,1%,1%,0%,N,,,,7300,N,2011,,,,,,,,,,,,,,,
- - - - - - - - - - - - - - - - - - - - - - - - - - - - End of Report - - - - - - - - - - - - - - - - - - - - - - - - - - - - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
