Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Roanoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
666204,  US,00011,     ,US 11,Brandon Ave,128,City of Roanoke,128,City of Roanoke,1.35,ECL Salem,Edgewood St; Mud Lick Rd,19000,G,98%,0%,1%,0%,0%,0%,F,0.0941,F,0.6206,22000,G,2011,,,,,,,,,,,,,,,
666412,  US,00011,     ,US 11,Brandon Ave,128,City of Roanoke,128,City of Roanoke,1.03,Edgewood St; Mud Lick Rd,Grandin Rd,13000,G,98%,0%,1%,0%,0%,0%,F,0.0842,F,0.5708,14000,G,2011,,,,,,,,,,,,,,,
666411,  US,00011,     ,US 11,Grandin Rd,128,City of Roanoke,128,City of Roanoke,0.70,Brandon Ave,Memorial Avenue,7500,G,98%,0%,1%,0%,0%,0%,F,0.0925,F,0.6202,8500,G,2011,,,,,,,,,,,,,,,
120058,  US,00011,     ,US 11,Memorial Avenue,128,City of Roanoke,128,City of Roanoke,0.84,Grandin Rd,Campbell Ave,11000,A,98%,0%,1%,0%,0%,0%,C,0.1112,A,0.0000,13000,A,2011,,,,,,,,,,,,,,,
666455,  US,00011,     ,US 11,Campbell Ave,128,City of Roanoke,128,City of Roanoke,0.53,13th St,7th St,4400,G,98%,0%,1%,0%,0%,0%,F,0.0977,F,0.5968,5000,G,2011,,,,,,,,,,,,,,,
666408,  US,00011,     ,US 11,Campbell Ave,128,City of Roanoke,128,City of Roanoke,0.47,7th St,3rd St,5600,G,98%,0%,1%,0%,0%,0%,F,0.0830,F,0.5420,6300,G,2011,,,,,,,,,,,,,,,
666517,  US,00011,     ,US 11,Campbell Ave,128,City of Roanoke,128,City of Roanoke,0.28,3rd St,US 221 Jefferson St,6900,G,98%,0%,1%,0%,0%,0%,F,0.0798,F,0.7382,7800,G,2011,,,,,,,,,,,,,,,
666518,  US,00011,     ,US 11,Campbell Ave,128,City of Roanoke,128,City of Roanoke,0.16,US 221 Jefferson St,Williamson Rd,6900,N,98%,0%,1%,0%,0%,0%,N,0.0798,N,0.7382,7800,N,2011,,,,,,,,,,,,,,,
666813,  US,00011,     ,"US 11, US 221, VA 116",Williamson Rd,128,City of Roanoke,128,City of Roanoke,0.15,Campbell Ave,Shenandoah Ave,22000,G,98%,0%,1%,0%,0%,0%,F,0.0893,F,0.5274,25000,G,2011,,,,,,,,,,,,,,,
666406,  US,00011,     ,"US 11, US 221, VA 116",Williamson Rd,128,City of Roanoke,128,City of Roanoke,0.15,Shenandoah Ave,I-581,15000,G,98%,0%,1%,0%,0%,0%,F,0.0990,F,0.7228,17000,G,2011,,,,,,,,,,,,,,,
