Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
665401,  US,00001,     ,"US 1, US 301",Jefferson Davis Hwy,127,City of Richmond,127,City of Richmond,2.13,SCL Richmond,Bellmeade Rd,17000,G,95%,1%,1%,1%,2%,0%,F,0.0827,F,0.6063,18000,G,2011,,,,,,,,,,,,,,,
140120,  US,00001,     ,"US 1, US 301",Jefferson Davis Hwy,127,City of Richmond,127,City of Richmond,0.86,Bellmeade Rd,Hopkins Rd,13000,A,95%,1%,1%,1%,2%,0%,C,0.0980,A,0.0000,13000,A,2011,,,,,,,,,,,,,,,
665404,  US,00001,     ,"US 1, US 301",Jefferson Davis Hwy,127,City of Richmond,127,City of Richmond,1.01,Hopkins Rd,US 360 Hull St,17000,G,95%,1%,1%,1%,2%,0%,F,0.0814,F,0.5226,18000,G,2011,,,,,,,,,,,,,,,
665406,  US,00001,     ,"US 1, US 301",Cowardin Ave,127,City of Richmond,127,City of Richmond,0.39,US 360 Hull St,Semmes Ave,18000,G,95%,1%,1%,1%,2%,0%,F,0.0889,F,0.6058,19000,G,2011,,,,,,,,,,,,,,,
665620,  US,00001,     ,"US 1, US 301",Lee Bridge,127,City of Richmond,127,City of Richmond,0.76,Semmes Ave,2nd St,32000,G,95%,1%,2%,1%,1%,0%,F,0.0943,F,0.5913,37000,G,2011,,,,,,,,,,,,,,,
665407,  US,00001,     ,"US 1, US 301",Belvidere St,127,City of Richmond,127,City of Richmond,0.92,2nd St,Franklin St,26000,G,95%,1%,2%,1%,1%,0%,F,0.0872,F,0.5680,30000,G,2011,,,,,,,,,,,,,,,
665408,  US,00001,     ,"US 1, US 301",Belvidere St,127,City of Richmond,127,City of Richmond,0.15,Franklin St,US 250 Broad St,32000,G,95%,1%,2%,1%,1%,0%,F,0.0808,F,0.5251,36000,G,2011,,,,,,,,,,,,,,,
665409,  US,00001,     ,"US 1, US 301",Belvidere St,127,City of Richmond,127,City of Richmond,0.40,US 250 Broad St,Chamberlayne Ave,29000,G,95%,1%,2%,1%,1%,0%,F,0.0872,F,0.6053,33000,G,2011,,,,,,,,,,,,,,,
665410,  US,00001,     ,"US 1, US 301",Chamberlayne Ave,127,City of Richmond,127,City of Richmond,1.02,Belvidere St,Edge Hill Rd,22000,G,95%,1%,2%,1%,1%,0%,C,0.0823,F,0.6277,25000,G,2011,,,,,,,,,,,,,,,
