ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011	Prepared	8/22/2012
Daily Vehicle Miles Traveled (DVMT) by Physical Jurisdiction, with Towns Combined into Counties																														
Public Road Segments within the Commonwealth of Virginia																														
Road Length values temporarilly not included in this report pending publication of official road length values																														
2011																														
																														
									Secondary						Primary						Interstate						All Roads			
													%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of		State
										Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		State	Road	Total
										Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction							DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																														
 		041	Halifax County					              	311,932	0.48%	0.14%				707,545	0.78%	0.32%				0	0.00%	0.00%				1,019,477	0.46%		
 		042	Hanover County					              	1,081,423	1.66%	0.49%				930,872	1.02%	0.42%				2,419,094	3.67%	1.09%				4,431,389	2.00%		
 		043	Henrico County					              	3,141,519	4.83%	1.42%				1,667,080	1.83%	0.75%				3,438,175	5.22%	1.55%				8,246,774	3.72%		
 		044	Henry County					              	451,087	0.69%	0.20%				1,038,253	1.14%	0.47%				0	0.00%	0.00%				1,489,340	0.67%		
 		045	Highland County					              	23,845	0.04%	0.01%				47,479	0.05%	0.02%				0	0.00%	0.00%				71,325	0.03%		
 		046	Isle of Wight County					              	353,729	0.54%	0.16%				835,825	0.92%	0.38%				0	0.00%	0.00%				1,189,554	0.54%		
 		047	James City County					              	327,697	0.50%	0.15%				765,258	0.84%	0.34%				693,773	1.05%	0.31%				1,786,728	0.81%		
 		049	King & Queen County					              	69,988	0.11%	0.03%				197,443	0.22%	0.09%				0	0.00%	0.00%				267,431	0.12%		
 		048	King George County					              	94,397	0.15%	0.04%				743,365	0.82%	0.34%				0	0.00%	0.00%				837,763	0.38%		
 		050	King William County					              	113,999	0.18%	0.05%				286,699	0.32%	0.13%				0	0.00%	0.00%				400,698	0.18%		
 		051	Lancaster County					              	96,330	0.15%	0.04%				231,534	0.25%	0.10%				0	0.00%	0.00%				327,864	0.15%		
 		052	Lee County					              	139,489	0.21%	0.06%				447,261	0.49%	0.20%				0	0.00%	0.00%				586,751	0.26%		
 		053	Loudoun County					              	2,873,703	4.42%	1.30%				3,948,120	4.34%	1.78%				0	0.00%	0.00%				6,821,823	3.08%		
 		054	Louisa County					              	307,288	0.47%	0.14%				479,226	0.53%	0.22%				603,187	0.91%	0.27%				1,389,701	0.63%		
 		055	Lunenburg County					              	109,443	0.17%	0.05%				146,349	0.16%	0.07%				0	0.00%	0.00%				255,792	0.12%		
 		056	Madison County					              	99,143	0.15%	0.04%				408,456	0.45%	0.18%				0	0.00%	0.00%				507,599	0.23%		
 		057	Mathews County					              	44,863	0.07%	0.02%				144,997	0.16%	0.07%				0	0.00%	0.00%				189,860	0.09%		
 		058	Mecklenburg County					              	269,369	0.41%	0.12%				583,518	0.64%	0.26%				436,086	0.66%	0.20%				1,288,973	0.58%		
 		059	Middlesex County					              	67,192	0.10%	0.03%				260,516	0.29%	0.12%				0	0.00%	0.00%				327,708	0.15%		
 		060	Montgomery County					              	604,384	0.93%	0.27%				1,091,002	1.20%	0.49%				1,121,662	1.70%	0.51%				2,817,049	1.27%		
 		061	Nansemond Maintenance Area					              	64	0.00%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				64	0.00%		
 		062	Nelson County					              	94,629	0.15%	0.04%				533,520	0.59%	0.24%				41,746	0.06%	0.02%				669,895	0.30%		
 		063	New Kent County					              	109,196	0.17%	0.05%				350,554	0.39%	0.16%				1,188,002	1.80%	0.54%				1,647,752	0.74%		
 		065	Northampton County					              	95,696	0.15%	0.04%				607,921	0.67%	0.27%				0	0.00%	0.00%				703,617	0.32%		
 		066	Northumberland County					              	111,405	0.17%	0.05%				209,128	0.23%	0.09%				0	0.00%	0.00%				320,533	0.14%		
 		067	Nottoway County					              	135,834	0.21%	0.06%				391,415	0.43%	0.18%				0	0.00%	0.00%				527,249	0.24%		
 		068	Orange County					              	204,182	0.31%	0.09%				589,090	0.65%	0.27%				0	0.00%	0.00%				793,272	0.36%		
 		069	Page County					              	158,845	0.24%	0.07%				305,228	0.34%	0.14%				0	0.00%	0.00%				464,074	0.21%		
 		070	Patrick County					              	164,466	0.25%	0.07%				255,394	0.28%	0.12%				0	0.00%	0.00%				419,860	0.19%		
 		071	Pittsylvania County					              	643,534	0.99%	0.29%				1,035,516	1.14%	0.47%				0	0.00%	0.00%				1,679,050	0.76%		
 		072	Powhatan County					              	301,849	0.46%	0.14%				555,460	0.61%	0.25%				0	0.00%	0.00%				857,309	0.39%		
 		073	Prince Edward County					              	158,972	0.24%	0.07%				537,993	0.59%	0.24%				0	0.00%	0.00%				696,965	0.31%		
 		074	Prince George County					              	276,373	0.43%	0.12%				508,293	0.56%	0.23%				663,363	1.01%	0.30%				1,448,028	0.65%		
 		076	Prince William County					              	3,787,393	5.83%	1.71%				2,362,283	2.60%	1.06%				3,149,497	4.78%	1.42%				9,299,173	4.19%		
 		077	Pulaski County					              	299,291	0.46%	0.13%				395,607	0.43%	0.18%				663,213	1.01%	0.30%				1,358,111	0.61%		
 		078	Rappahannock County					              	58,684	0.09%	0.03%				199,942	0.22%	0.09%				0	0.00%	0.00%				258,626	0.12%		
 		079	Richmond County					              	71,481	0.11%	0.03%				251,593	0.28%	0.11%				0	0.00%	0.00%				323,075	0.15%		
 		080	Roanoke County					              	513,588	0.79%	0.23%				944,349	1.04%	0.43%				956,513	1.45%	0.43%				2,414,449	1.09%		
 		081	Rockbridge County					              	183,397	0.28%	0.08%				318,177	0.35%	0.14%				1,315,804	2.00%	0.59%				1,817,378	0.82%		
 		082	Rockingham County					              	596,903	0.92%	0.27%				1,094,432	1.20%	0.49%				913,075	1.39%	0.41%				2,604,409	1.17%		
 		083	Russell County					              	204,041	0.31%	0.09%				679,331	0.75%	0.31%				0	0.00%	0.00%				883,372	0.40%		
 		084	Scott County					              	201,760	0.31%	0.09%				552,870	0.61%	0.25%				0	0.00%	0.00%				754,631	0.34%		
 		085	Shenandoah County					              	267,861	0.41%	0.12%				408,004	0.45%	0.18%				1,502,058	2.28%	0.68%				2,177,922	0.98%		
 		086	Smyth County					              	281,203	0.43%	0.13%				240,418	0.26%	0.11%				624,569	0.95%	0.28%				1,146,189	0.52%		
 		087	Southampton County					              	251,917	0.39%	0.11%				722,236	0.79%	0.33%				0	0.00%	0.00%				974,153	0.44%		
 		088	Spotsylvania County					              	1,039,136	1.60%	0.47%				1,157,092	1.27%	0.52%				1,236,741	1.88%	0.56%				3,432,969	1.55%		
 		089	Stafford County					              	1,072,350	1.65%	0.48%				876,193	0.96%	0.39%				2,146,314	3.26%	0.97%				4,094,857	1.85%		
 		090	Surry County					              	51,607	0.08%	0.02%				115,429	0.13%	0.05%				0	0.00%	0.00%				167,036	0.08%		
 		091	Sussex County					              	97,608	0.15%	0.04%				333,165	0.37%	0.15%				570,099	0.86%	0.26%				1,000,872	0.45%		
 		092	Tazewell County					              	284,729	0.44%	0.13%				849,053	0.93%	0.38%				0	0.00%	0.00%				1,133,782	0.51%		
 		093	Warren County					              	255,598	0.39%	0.12%				431,856	0.47%	0.19%				508,585	0.77%	0.23%				1,196,039	0.54%		
 		095	Washington County					              	451,879	0.70%	0.20%				590,464	0.65%	0.27%				988,007	1.50%	0.45%				2,030,350	0.92%		
